ID,Name,Concepticon_ID,Concepticon_Gloss,French_Gloss,Latin_Gloss,Number
Gauchat-1925-480-59_verslacroix,to the cross,,,vers la croix,crŭce,59
Gauchat-1925-480-60_lepuits,the well,954,WELL,le puits,pŭteu,60
Gauchat-1925-480-61_lechable,"the ""chable""",,,le „chable“,catabolu,61
Gauchat-1925-480-62_cest,This is (2),,,C‘est,est,62
Gauchat-1925-480-63_unlieu,a place,723,PLACE (POSITION),un lieu,ūnu lŏcu,63
Gauchat-1925-480-64_dangereux,dangerous,3466,DANGEROUS,dangereux,dominiariu + ōsu,64
Gauchat-1925-480-65_larive,The river,666,RIVER,La rive,rīpa,65
Gauchat-1925-480-66_estetroite,is narrow,1267,NARROW,est étroite,strĭcta,66
Gauchat-1925-480-67_legrenier,The attic,,,Le grenier,granariu,67
Gauchat-1925-480-68_etlebattoir,"and the ""beater""",,,et le „battoir“,batt + atōriu,68
Gauchat-1925-480-69_sonttoutpres,are very close,,,sont tout près,prĕssu,69
Gauchat-1925-480-70_duvillage,of the village,,,du village,villaticu,70
Gauchat-1925-480-71_allonsy,Let's go,,,Allons-y,ambulemus,71
Gauchat-1925-480-72_ensemble,together,2482,TOGETHER,ensemble,insĭmul,72
Gauchat-1925-480-73_prendsgarde,Be careful,,,Prends garde,cavica,73
Gauchat-1925-480-74_detencoubler,to stumble,,,de t‘“encoubler“,incopulare,74
Gauchat-1925-480-75_lepont,The bridge,1011,BRIDGE,Le pont,pŏnte,75
Gauchat-1925-480-76_esten,is,,,est en,est ĭn,76
Gauchat-1925-480-77_pierre,stone,857,STONE,pierre,pĕtra,77
Gauchat-1925-480-78_enfer,of iron,,,en fer,fĕrru,78
Gauchat-1925-480-79_ilestneuf,It is new,,,Il est neuf,nŏvu,79
Gauchat-1925-480-80_large,broad,2531,BROAD,large,largu,80
Gauchat-1925-480-81_lemur,The wall,933,WALL (OF HOUSE),Le mur,mūru,81
Gauchat-1925-480-82_estcommence,has started,,,est commencé,cuminitiatu,82
Gauchat-1925-480-83_latour,The journey,2393,JOURNEY,La tour,tŭrre,83
Gauchat-1925-480-84_estcommencee,(has) started,,,(est) commencée,cuminitiata,84
Gauchat-1925-480-85_lestours,The journeys,,,Les tours,tŭrres,85
Gauchat-1925-480-86_sontcommencees,have started,,,(sont) commencées,cuminitiatas,86
Gauchat-1925-480-87_lebuf,The bull,1008,BULL,Le bœuf,bŏve,87
Gauchat-1925-480-88_adescornes,has horns,,,a des cornes,habet cŏrn(u)as,88
Gauchat-1925-480-89_lechelle,The ladder,1464,LADDER,L‘échelle,scala,89
Gauchat-1925-480-90_estdresse,is leaned,,,est dressé,directiata,90
Gauchat-1925-480-91_contre,against,2469,AGAINST,contre,contra,91
Gauchat-1925-480-92_lefaite,the top,1753,TOP,le faîte,fresta,92
Gauchat-1925-480-93_dutoit,of the roof,,,du toit,tēctu,93
Gauchat-1925-480-94_ilferme,He closes,,,Il ferme,claudit,94
Gauchat-1925-480-95_lafenetre,the window,1375,WINDOW,la fenêtre,fenĕstra,95
Gauchat-1925-480-96_delachambre,of the room,,,de la chambre,pē(n)sile,96
Gauchat-1925-480-97_ilbalaie,He sweeps,,,Il balaie,scōpat,97
Gauchat-1925-480-98_devant,in front of,1883,IN FRONT OF,devant,de + abante,98
Gauchat-1925-480-99_laporte,the door,1567,DOOR,la porte,pŏrta,99
Gauchat-1925-480-100_delagrange,of the barn,,,de la grange,granica,100
Gauchat-1925-480-101_ona,We have,,,On a,hŏmo habet,101
Gauchat-1925-480-102_perdu,lost,,,perdu,perdūtu,102
Gauchat-1925-480-103_laclef,the key,1472,KEY,la clef,clave,103
Gauchat-1925-480-104_duclocher,of the bell tower,,,du clocher,cloccariu,104
Gauchat-1925-480-105_elleest,It (feminine) is,,,Elle est,ĭlla est,105
Gauchat-1925-480-106_perdue,lost (feminine),,,perdue,perdūta,106
Gauchat-1925-480-107_quia,Who has,,,Qui a,cui / qualis habet,107
Gauchat-1925-480-108_faitcela,done that?,,,fait cela?,factu,108
Gauchat-1925-480-109_jevais,I go,,,Je vais,vado,109
Gauchat-1925-480-110_aumarche,to the market,,,au marché,mercatu,110
Gauchat-1925-480-111_chercher,to search,1468,LOOK FOR,chercher,circare,111
Gauchat-1925-480-112_unepelle,a shovel,1901,SHOVEL,une pelle,pala,112
Gauchat-1925-480-113_unefaux,(a) scythe,20,SCYTHE,(une) faux,falce,113
Gauchat-1925-480-114_unmanchedefaux,(a) scythe handle,,,(un) manche de faux,falcariu,114
Gauchat-1925-480-115_unfleau,(a) plague,,,(un) fléau,flagĕllu,115
Gauchat-1925-480-116_unvan,(a) van,,,(un) van,vannu,116
Gauchat-1925-480-117_unechaudiere,(a) boiler,,,(une) chaudière,caldaria,117
Gauchat-1925-480-118_unecharrue,(a) plow,2154,PLOUGH (INSTRUMENT),(une) charrue,carrūca,118
Gauchat-1925-480-119_unecuve,(a) tank,2548,BARREL,(une) cuve,cūpa,119
Gauchat-1925-480-120_unpetrin,(a) trouble,,,(un) pétrin,magide,120
Gauchat-1925-480-121_unjoug,(a) yoke,14,YOKE,(un) joug,jŭgu,121
Gauchat-1925-480-122_unmanche,(a) handle,1254,HANDLE,(un) manche,manicu,122
Gauchat-1925-480-123_unecage,(a) cage,3283,CAGE,(une) cage,cavea,123
Gauchat-1925-480-124_unlit,(a) bed,1663,BED,(un) lit,lēctu,124
Gauchat-1925-480-125_unebouteille,(a) bottle,1321,BOTTLE,(une) bouteille,buttŭcula,125
Gauchat-1925-480-126_uncouteau,(a) knife,1352,KNIFE,(un) couteau,cultĕllu,126
Gauchat-1925-480-127_desciseaux,scissors,356,SHEARS,(des) ciseaux,fŏrfices,127
Gauchat-1925-480-128_unmiroir,(a) mirror,1171,MIRROR,(un) miroir,miratōriu,128
Gauchat-1925-480-129_unebobine,(a) coil,,,(une) bobine,spōla,129
Gauchat-1925-480-130_unecouronne,(a) crown,1943,CROWN (OF HEAD),(une) couronne,corōna,130
Gauchat-1925-480-131_jacheterai,I will buy,,,J‘achèterai,accaptare + habeo,131
Gauchat-1925-480-132_aussi,also,,,aussi,alesīc + bĕne,132
Gauchat-1925-480-133_despantalons,some pants,,,„des“ pantalons,calceas,133
Gauchat-1925-480-134_uneceinture,(a) belt,772,BELT,(une) ceinture,cinctūra,134
Gauchat-1925-480-135_delatoile,(some) linen,916,LINEN,(de la) toile,tela,135
Gauchat-1925-480-136_delasoie,(some) silk,1641,SILK,(de la) soie,sēta,136
Gauchat-1925-480-137_delalaine,(some) wool,964,WOOL,(de la) laine,lana,137
Gauchat-1925-480-138_ducuir,(some) leather,629,LEATHER,(du) cuir,cŏriu,138
Gauchat-1925-480-139_cedrapdelit,This bed sheet,,,Ce drap de lit,linteŏlu,139
Gauchat-1925-480-140_estmeilleur,is better,,,est meilleur,meliōre,140
Gauchat-1925-480-141_quelautre,than the other,,,que l’autre,alteru,141
Gauchat-1925-480-142_ilaune,It has one,,,Il a une,habet,142
Gauchat-1925-480-143_largeur,width,,,largeur,largu + ōre,143
Gauchat-1925-480-144_double,double,,,double,dŭpla,144
Gauchat-1925-480-145_lacouture,The sewing,,,La couture,co(n)sutūra,145
Gauchat-1925-480-146_estdroite,is straight,1404,STRAIGHT,est droite,dirēcta,146
Gauchat-1925-480-147_lechar,The vehicle,2549,VEHICLE,Le char,carru,147
Gauchat-1925-480-148_estleger,is light,1052,LIGHT (WEIGHT),est léger,leviariu,148
Gauchat-1925-480-149_lachaine,The chain,1627,CHAIN,La chaîne,catēna,149
Gauchat-1925-480-150_estlegere,(is) light (feminine),,,(est) légère,leviaria,150
Gauchat-1925-480-151_lacorde,The rope,1218,ROPE,La corde,cŏrda,151
Gauchat-1925-480-152_neuve,new (feminine),,,neuve,nŏva,152
Gauchat-1925-480-153_estmeilleure,is better (feminine),,,est meilleure,meliōre,153
Gauchat-1925-480-154_lecercle,The circle,1467,CIRCLE,Le cercle,cĭrculu,154
Gauchat-1925-480-155_estrond,is round,1395,ROUND,est rond,rotŭndu,155
Gauchat-1925-480-156_laroue,The wheel,710,WHEEL,La roue,rŏta,156
Gauchat-1925-480-157_estronde,(is) round (feminine),,,(est) ronde,rotŭnda,157
Gauchat-1925-480-158_ilfaudra,One must,,,Il faudra,fallere + habet,158
Gauchat-1925-480-159_bientot,soon,703,SOON,bientôt,bĕne tŏstu,159
Gauchat-1925-480-160_tondre,mow,190,MOW,tondre,tŏndere,160
Gauchat-1925-480-161_lesbrebis,the ewes,1345,EWE,les brebis,fētas,161
Gauchat-1925-480-162_racerer,sharpen (?),,,racérer,reaciariare,162
Gauchat-1925-480-163_lahache,the axe,677,AXE,la hache,happia (+ itta),163
Gauchat-1925-480-164_battreengrange,beat in the barn,,,battre en grange,excŭtere,164
Gauchat-1925-480-165_moudre,grind,1033,GRIND,moudre,mŏlere,165
Gauchat-1925-480-166_leble,the wheat,1077,WHEAT,le blé,blatu,166
Gauchat-1925-480-167_garder,keep,1477,KEEP,garder,wardare,167
Gauchat-1925-480-168_lesbetes,the livestock,631,LIVESTOCK,les bêtes,bĕstias,168
Gauchat-1925-480-169_tourner,turn,1588,TURN,tourner,(re)virare,169
Gauchat-1925-480-170_laterre,the earth,1228,EARTH (SOIL),la terre,tĕrra,170
Gauchat-1925-480-171_semer,to sow,748,SOW SEEDS,semer,seminare,171
Gauchat-1925-480-172_lechanvre,(the) hemp,2041,HEMP,(le) chanvre,cannapu,172
Gauchat-1925-480-173_lesfeves,the beans,832,BEAN,les fèves,fabas,173
Gauchat-1925-480-174_lecheval,The horse,615,HORSE,Le cheval,caballu,174
Gauchat-1925-480-175_estvendu,is sold,,,est vendu,vendūtu,175
Gauchat-1925-480-176_lavache,The cow,1007,COW,La vache,vacca,176
Gauchat-1925-480-177_estvendue,(is) sold (feminine),,,(est) vendue,vendūta,177
Gauchat-1925-480-178_leschevres,The goats,1502,GOAT,Les chèvres,capras,178
Gauchat-1925-480-179_sontvendues,(are) sold,,,(sont) vendues,vendūtas,179
Gauchat-1925-480-180_ilestcher,It is expensive,,,Il est cher,caru,180
Gauchat-1925-480-181_elleestchere,(she is) expensive,,,(Elle est) chère,cara,181
Gauchat-1925-480-182_ellessontcheres,(they are) expensive,,,(elles sont) chères,caras,182
Gauchat-1925-480-183_leporc,The pig,1337,PIG,Le porc,pŏrcu,183
Gauchat-1925-480-184_estgros,is fat,1279,FAT (OBESE),est gros,grŏssu,184
Gauchat-1925-480-185_latruie,The sow,1351,SOW (FEMALE PIG),La truie,trŏia,185
Gauchat-1925-480-186_estgrosse,(is) fat (feminine),,,(est) grosse,grŏssa,186
Gauchat-1925-480-187_lefoin,The hay,342,HAY,Le foin,fēnu,187
Gauchat-1925-480-188_estsec,is dry,1398,DRY,est sec,sĭccu,188
Gauchat-1925-480-189_lherbe,The grass,606,GRASS,L’herbe,hĕrba,189
Gauchat-1925-480-190_estseche,(is) dry (feminine),,,(est) sèche,sĭcca,190
Gauchat-1925-480-191_queveuxtu,What do you want?,,,Que veux-tu?,quĭd vŏles tū,191
Gauchat-1925-480-192_jevoudrais,I would like,,,Je voudrais,volere + habēbam,192
Gauchat-1925-480-193_dusel,some salt,,,du sel,sal,193
Gauchat-1925-480-194_dupoivre,some pepper,,,du poivre,pĭper,194
Gauchat-1925-480-195_unefeuille,one leaf,628,LEAF,une feuille,fŏlia,195
Gauchat-1925-480-196_dechou,some cabbage,,,de chou,caule,196
Gauchat-1925-480-197_unegerbe,a wreath,2589,WREATH,une gerbe,garba,197
Gauchat-1925-480-198_depaille,some straw,,,de paille,palea,198
Gauchat-1925-480-199_unsac,a bag,2468,BAG,un sac,saccu,199
Gauchat-1925-480-200_davoine,some oat,,,d’avoine,avēna,200
Gauchat-1925-480-201_defarine,some flour,,,de farine,farina,201
Gauchat-1925-480-202_unebrassee,an armful,,,une brassée,braciata,202
Gauchat-1925-480-203_desbrassees,some armfuls,,,(des) brassées,braciatas,203
Gauchat-1925-480-204_debois,of wood,,,de bois,bŏscu,204
Gauchat-1925-480-205_unepelletee,(a) shovel,,,(une) pelletée,palata,205
Gauchat-1925-480-206_despelletees,(some) shovels,,,(des) pelletées,palatas,206
Gauchat-1925-480-207_decharbon,of coal,,,de charbon,carbōne,207
Gauchat-1925-480-208_unepoignee,a handful,,,une poignée,pugnata,208
Gauchat-1925-480-209_despoignees,(some) handfuls,,,(des) poignées,pugnatas,209
Gauchat-1925-480-210_decendres,of ash,,,de cendres,cĭneres,210
Gauchat-1925-480-211_javais,I had,,,J’avais,habēbam,211
Gauchat-1925-480-212_faim,hunger,1864,HUNGER,faim,fame,212
Gauchat-1925-480-213_etsoif,and thirst,,,et soif,sĭte,213
Gauchat-1925-480-214_jaimange,I have eaten,,,J’ai mangé,manducatu,214
Gauchat-1925-480-215_dupain,some bread,,,du pain,pane,215
Gauchat-1925-480-216_dumiel,(some) honey,942,HONEY,(du) miel,mĕl,216
Gauchat-1925-480-217_unuf,an egg,744,EGG,un œuf,ŏvu,217
Gauchat-1925-480-218_cru,raw,1959,RAW,cru,crūdu,218
Gauchat-1925-480-219_delaviande,(some) meat,634,MEAT,(de la) viande,carne,219
Gauchat-1925-480-220_crue,raw (feminine),,,crue,crūda,220
Gauchat-1925-480-221_dufromage,(some) cheese,1569,CHEESE,(du) fromage,formaticu,221
Gauchat-1925-480-222_duserac,"(some) ""serac""",,,(du) „sérac“,seraceu,222
Gauchat-1925-480-223_lamoitie,half,816,HALF,la moitié,medietate,223
Gauchat-1925-480-224_dunepomme,of an apple,,,d’une pomme,pōma,224
Gauchat-1925-480-225_cuite,cooked,269,COOKED,cuite,cŏcta,225
Gauchat-1925-480-226_lapommeestmangee,(the apple is) eaten,,,(la pomme est) mangée,manducata,226
Gauchat-1925-480-227_lesdeuxmoities,The two halves,,,Les deux moitiés,dŭas medietates,227
Gauchat-1925-480-228_sontmangees,(are) eaten,,,(sont) mangées,manducatas,228
Gauchat-1925-480-229_ilmafallu,I needed,,,Il m’a fallu,fallūtu,229
Gauchat-1925-480-230_boire,to drink,1401,DRINK,boire,bĭbere,230
Gauchat-1925-480-231_dulait,some milk,,,du lait,lacticĕllu,231
Gauchat-1925-480-232_dupetitlait,some whey,,,du petit-lait,lactata,232
Gauchat-1925-480-233_levin,The wine,1524,WINE,Le vin,vīnu,233
Gauchat-1925-480-234_estclair,is clear,250,LIGHT (COLOR),est clair,claru,234
Gauchat-1925-480-235_tiede,lukewarm,,,tiède,tĕpidu,235
Gauchat-1925-480-236_leau,The water,948,WATER,L’eau,aqua,236
Gauchat-1925-480-237_estclaire,(is) clear (feminine),,,(est) claire,clara,237
Gauchat-1925-480-238_tiede,lukewarm (feminine),,,tiède,tĕpida,238
Gauchat-1925-480-239_leverre,The glass,604,GLASS,Le verre,vĭtru,239
Gauchat-1925-480-240_estplein,is full,1429,FULL,est plein,plēnu,240
Gauchat-1925-480-241_lacuiller,The spoon,1378,SPOON,La cuiller,cochleare,241
Gauchat-1925-480-242_estpleine,(is) full (feminine),,,(est) pleine,plēna,242
Gauchat-1925-480-243_ilabu,He drank,,,Il a bu,bibūtu,243
Gauchat-1925-480-244_unecuillereedescuillerees,"(a) spoonful, (of) spoonfuls",,,"(une) cuillerée, (des) cuillerées",cochlearata -atas,244
Gauchat-1925-480-245_depoison,of poison,,,de poison,potiōne,245
Gauchat-1925-480-246_ilmeurt,He dies,,,Il meurt,mŏrit,246
Gauchat-1925-480-247_cefruit,This fruit,,,Ce fruit,frūctu frūcta,247
Gauchat-1925-480-248_estrouge,is red,,,est rouge,rŭbeu,248
Gauchat-1925-480-249_mur,ripe,178,RIPE,mûr,matūru,249
Gauchat-1925-480-250_doux,soft,1856,SOFT,doux,dŭlce,250
Gauchat-1925-480-251_laprune,The plum,,,La prune,prūma,251
Gauchat-1925-480-252_estmure,(is) ripe (feminine),,,(est) mûre,matūra,252
Gauchat-1925-480-253_douce,sweet,717,SWEET,douce,dŭlce + a,253
Gauchat-1925-480-254_notre,Our,780,OUR,Notre,nŏstru,254
Gauchat-1925-480-255_pommier,apple tree,,,pommier,pomariu,255
Gauchat-1925-480-256_perd,loses,,,perd,pĕrdit,256
Gauchat-1925-480-257_saseve,his sap,,,sa sève,sapa,257
Gauchat-1925-480-258_ilnepeut,He cannot,,,Il ne peut,pŏtet,258
Gauchat-1925-480-259_plus,more,1992,MORE,plus,plūs,259
Gauchat-1925-480-260_croitre,grow,479,GROW,croître,crēscere,260
Gauchat-1925-480-261_legland,The acorn,968,ACORN,Le gland,glande,261
Gauchat-1925-480-262_croit,grows,,,croît,crēscit,262
Gauchat-1925-480-263_sur,above,1741,ABOVE,sur,sū(r)su,263
Gauchat-1925-480-264_lechene,the oak,644,OAK,le chêne,cassinu,264
Gauchat-1925-480-265_lesaule,The willow,818,WILLOW,Le saule,salice,265
Gauchat-1925-480-266_amoins,has fewer,,,a moins,mĭnus,266
Gauchat-1925-480-267_denuds,of knots,,,de nœuds,nōdos,267
Gauchat-1925-480-268_quelehetre,than the beech,,,que le hêtre,fagu,268
Gauchat-1925-480-269_voila,See here,,,Voilà,*-,269
Gauchat-1925-480-270_uneplante,a plant,653,PLANT (VEGETATION),une plante,planta,270
Gauchat-1925-480-271_sans,without,1478,WITHOUT,sans,sĭne,271
Gauchat-1925-480-272_epines,thorns,124,THORN,épines,spīnas,272
Gauchat-1925-480-273_onvient,Someone comes,,,On vient,hŏmo vĕnit,273
Gauchat-1925-480-274_mappeler,to call me,,,m’appeler,appellare (quiritare),274
Gauchat-1925-480-275_pour,for,,,pour,pro,275
Gauchat-1925-480-276_manger,eating,,,manger,manducare,276
Gauchat-1925-480-277_chasser,to hunt,1435,HUNT,chasser,captiare,277
Gauchat-1925-480-278_unchien,a dog,2009,DOG,un chien,cane,278
Gauchat-1925-480-279_prendre,to take,1749,TAKE,prendre,prē(he)ndere,279
Gauchat-1925-480-280_unvoleur,a thief,1160,THIEF,un voleur,latro,280
Gauchat-1925-480-281_ilestpriselleestprise,"(he is) taken, (she is) taken",,,"(il est) pris, (elle est) prise","prē(hen)su, -ē(hen)sa",281
Gauchat-1925-480-282_lemeunier,The miller,,,Le meunier,molinariu,282
Gauchat-1925-480-283_moud,grinds,,,moud,mŏlit,283
Gauchat-1925-480-284_oncroit,One believes,,,On croit,crēdit,284
Gauchat-1925-480-285_quilestriche,(that he is) rich,712,RICH,(qu’il est) riche,rīccu,285
Gauchat-1925-480-286_ilafait,He has made,,,Il a fait,factu,286
Gauchat-1925-480-287_uneperte,a loss,,,une perte,pĕrdita,287
Gauchat-1925-480-288_safemme,His wife,,,Sa femme,fēmina,288
Gauchat-1925-480-289_estriche,is rich (feminine),,,est riche,rīcca,289
Gauchat-1925-480-290_ilsont,They have,,,Ils ont,habent,290
Gauchat-1925-480-291_unbeau,a beautiful,,,un beau,bĕllu,291
Gauchat-1925-480-292_jardin,garden,586,GARDEN,jardin,co(ho)rtile,292
Gauchat-1925-480-293_unebelle,a beautiful (feminine),,,une belle,bĕlla,293
Gauchat-1925-480-294_vigne,vine,343,VINE,vigne,vīnea,294
Gauchat-1925-480-295_ilspeuvent,They can,,,Ils peuvent,pŏtunt,295
Gauchat-1925-480-296_payer,pay,718,PAY,payer,pacare,296
Gauchat-1925-480-297_lafille,The daughter,1357,DAUGHTER,La fille,fīlia,297
Gauchat-1925-480-298_demasur,of my sister,,,de ma sœur,sŏror,298
Gauchat-1925-480-299_chante,sings,,,chante,cantat,299
Gauchat-1925-480-300_bien,well,,,bien,bĕne,300
Gauchat-1925-480-301_tuchantes,You sing,,,Tu chantes,cantas,301
Gauchat-1925-480-302_mieuxquelle,better than she,,,mieux qu‘elle,"mĕlius, illæi",302
Gauchat-1925-480-303_cesgens,these people,,,Ces gens,gĕntes,303
Gauchat-1925-480-304_ontchante,sang,,,ont chanté,cantatu,304
Gauchat-1925-480-305_unechanson,(a) song,1096,SONG,(une) chanson,cantiōne,305
Gauchat-1925-480-306_elleaete,It (feminine) was,,,Elle a été,statu habūtu,306
Gauchat-1925-480-307_malchantee,badly sung,,,mal chantée,male cantata,307
Gauchat-1925-480-308_ellesontetemalchantees,they were (badly) sung,,,elles ont été (mal) chantées,cantatas,308
Gauchat-1925-480-309_ilsdevraient,(They) should,,,(Ils) devraient,debēre + (hab)ēbant,309
Gauchat-1925-480-310_tous,all,98,ALL,tous,tōttī,310
Gauchat-1925-480-311_setaire,shut up,48,BE SILENT,se taire,qu(i)etiare,311
Gauchat-1925-480-312_toutes,All (feminine),,,Toutes,tōttas,312
Gauchat-1925-480-313_cesfemmes,these women,,,ces femmes,fēminas,313
Gauchat-1925-480-314_nesaventpas,they do not know,,,ne savent pas,sapunt,314
Gauchat-1925-480-315_chanter,to sing,1261,SING,chanter,cantare,315
Gauchat-1925-480-316_onnepeutpas,One cannot,,,On ne peut pas,pŏtet,316
Gauchat-1925-480-317_toutsavoir,know everything,,,tout savoir,sapēre,317
Gauchat-1925-480-318_celaneprouve,That does not prove,,,Cela ne prouve,prŏbat,318
Gauchat-1925-480-319_rien,nothing,687,NOTHING,rien,rĕm,319
Gauchat-1925-480-320_ondefend,One keeps from,,,On défend,defēndit,320
Gauchat-1925-480-321_auxenfants,the children,2099,CHILD,aux enfants,infantes,321
Gauchat-1925-480-322_dejurer,(to) swear,1939,SWEAR,(de) jurer,jurare,322
Gauchat-1925-480-323_depleurer,(to) cry,1839,CRY,(de) pleurer,plorare,323
Gauchat-1925-480-324_desauter,(to) jump,1829,JUMP,(de) sauter,saltare,324
Gauchat-1925-480-325_cettefillette,This little girl,,,Cette fillette,filia + ĭtta,325
Gauchat-1925-480-326_afait,has made,,,a fait,factu,326
Gauchat-1925-480-327_sapriere,her prayer,,,sa prière,precaria,327
Gauchat-1925-480-328_elleasommeil,She is sleepy,,,Elle a sommeil,sŏmnu,328
Gauchat-1925-480-329_elledort,She sleeps,,,Elle dort,dŏrmit,329
Gauchat-1925-480-330_deja,already,2576,ALREADY,déjà,jam,330
Gauchat-1925-480-331_quand,when,1238,WHEN,quand,quando,331
Gauchat-1925-480-332_vousvenez,you come,,,vous venez,venītis,332
Gauchat-1925-480-333_vouscoucher,to go to bed,215,LIE DOWN,vous coucher,collocare,333
Gauchat-1925-480-334_monfrere,My brother,,,Mon frère,fratre,334
Gauchat-1925-480-335_sennuie,is bored,,,s’ennuie,inŏdiat,335
Gauchat-1925-480-336_toutseul,alone,1964,ALONE,tout seul,solĭttu,336
Gauchat-1925-480-337_vousvoudriez,you would like,,,vous voudriez,volēre + (hab)ebatis,337
Gauchat-1925-480-338_quejenele,that I do not,,,que je ne le,ĭllu,338
Gauchat-1925-480-339_sachepas,know (not a bit),,,sache pas,sapiam,339
Gauchat-1925-480-340_jepleure,I cry,,,Je pleure,plōro,340
Gauchat-1925-480-341_doucement,slowly,2165,SLOWLY,doucement,-mĕnte,341
Gauchat-1925-480-342_pourquonnentendepas,so that we don’t hear,,,pour qu’on n’entende pas,hŏmo audiat,342
Gauchat-1925-480-343_jesais,(I) can,,,(Je) sais,sa(p)io,343
Gauchat-1925-480-344_unpeu,some,1241,SOME,un peu,paucu,344
Gauchat-1925-480-345_lire,read,724,READ,lire,lĕgere,345
