ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Alt_Transcription,Concept_ID,Form_ID
1-Champery,Champery,ĕ̞ fĭ tsɔ̆ wă̠,,,Il fait chaud aujourd‘hui,,,,ĕ fĭ tsŏ̀ wă,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Champery-Gauchat-1925-480-1_ilfait-1 Champery-Gauchat-1925-480-2_chaud-1 Champery-Gauchat-1925-480-3_aujourdhui-1
1-Vaugondry,Vaugondry,fa̠ː tsŏ vwĭ,,,Il fait chaud aujourd‘hui,,,,fā tsŏ́ vwĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Vaugondry-Gauchat-1925-480-1_ilfait-1 Vaugondry-Gauchat-1925-480-2_chaud-1 Vaugondry-Gauchat-1925-480-3_aujourdhui-1
1-Martigny,Martigny,fi tso vwe̞i͉,,,Il fait chaud aujourd‘hui,,,,fi tsó vwei̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Martigny-Gauchat-1925-480-1_ilfait-1 Martigny-Gauchat-1925-480-2_chaud-1 Martigny-Gauchat-1925-480-3_aujourdhui-1
1-Orsieres,Orsieres,ĭ fĭ tsa̠ː wă̠ɛ͉,,,Il fait chaud aujourd‘hui,,,,ĭ fĭ tsā wăè̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Orsieres-Gauchat-1925-480-1_ilfait-1 Orsieres-Gauchat-1925-480-2_chaud-1 Orsieres-Gauchat-1925-480-3_aujourdhui-1
1-Lourtier,Lourtier,ë fi tso wă̠,,,Il fait chaud aujourd‘hui,,,,ë fi tsó wă,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Lourtier-Gauchat-1925-480-1_ilfait-1 Lourtier-Gauchat-1925-480-2_chaud-1 Lourtier-Gauchat-1925-480-3_aujourdhui-1
1-Fully,Fully,ĭ fĭ tso wæe͉,,,Il fait chaud aujourd‘hui,,,,ĭ fĭ tsó waͤé̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Fully-Gauchat-1925-480-1_ilfait-1 Fully-Gauchat-1925-480-2_chaud-1 Fully-Gauchat-1925-480-3_aujourdhui-1
1-Conthey,Conthey,ĭ fĭ tso vwæi͉,,,Il fait chaud aujourd‘hui,,,,ĭ fĭ tsó vwaͤi̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Conthey-Gauchat-1925-480-1_ilfait-1 Conthey-Gauchat-1925-480-2_chaud-1 Conthey-Gauchat-1925-480-3_aujourdhui-1
1-Nendaz,Nendaz,ĭ fe tsa̠ː wĕ̞i͉,,,Il fait chaud aujourd‘hui,,,,ĭ fé tsā wĕi̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Nendaz-Gauchat-1925-480-1_ilfait-1 Nendaz-Gauchat-1925-480-2_chaud-1 Nendaz-Gauchat-1925-480-3_aujourdhui-1
1-Saviese,Saviese,ĭ fe̞ tsa̠ vwĭ,,,Il fait chaud aujourd‘hui,,,,ĭ fe tsa vwĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Saviese-Gauchat-1925-480-1_ilfait-1 Saviese-Gauchat-1925-480-2_chaud-1 Saviese-Gauchat-1925-480-3_aujourdhui-1
1-Ayent,Ayent,fei͉ tsŏ̞ wei͉,,,Il fait chaud aujourd‘hui,,,,féi̱ tsō wéi̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Ayent-Gauchat-1925-480-1_ilfait-1 Ayent-Gauchat-1925-480-2_chaud-1 Ayent-Gauchat-1925-480-3_aujourdhui-1
1-Miege,Miege,e̝ fĕi͉ tsa̠ːt wĕi͉,,,Il fait chaud aujourd‘hui,,,,eͥ fĕ́i̱ tsāt wĕ́i̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Miege-Gauchat-1925-480-1_ilfait-1 Miege-Gauchat-1925-480-2_chaud-1 Miege-Gauchat-1925-480-3_aujourdhui-1
1-Grone,Grone,ĭ feː tsa̠ː we̞i͉kç͉,,,Il fait chaud aujourd‘hui,,,,ĭ fḗ tsā wei̱kç̱̑,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Grone-Gauchat-1925-480-1_ilfait-1 Grone-Gauchat-1925-480-2_chaud-1 Grone-Gauchat-1925-480-3_aujourdhui-1
1-LAuberson,LAuberson,ĭ fɔː tsoː we̞ː,,,Il fait chaud aujourd‘hui,,,,ĭ fṑ tsṓ wē,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,LAuberson-Gauchat-1925-480-1_ilfait-1 LAuberson-Gauchat-1925-480-2_chaud-1 LAuberson-Gauchat-1925-480-3_aujourdhui-1
1-Evolene,Evolene,ɪ̈ feːt͉ tsa̠ːt we̝k,,,Il fait chaud aujourd‘hui,,,,ï fḗṯ tsāt weͥk,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Evolene-Gauchat-1925-480-1_ilfait-1 Evolene-Gauchat-1925-480-2_chaud-1 Evolene-Gauchat-1925-480-3_aujourdhui-1
1-Grimentz,Grimentz,ɪ̈ fĕ tsa̠ː vwɛ̆i͉kç͉,,,Il fait chaud aujourd‘hui,,,,ï fĕ́ tsā vwĕ̀i̱kç̱̑,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Grimentz-Gauchat-1925-480-1_ilfait-1 Grimentz-Gauchat-1925-480-2_chaud-1 Grimentz-Gauchat-1925-480-3_aujourdhui-1
1-Collex,Collex,i fɔː θo we̞e͉,,,Il fait chaud aujourd‘hui,,,,i fṑ ṣó weé̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Collex-Gauchat-1925-480-1_ilfait-1 Collex-Gauchat-1925-480-2_chaud-1 Collex-Gauchat-1925-480-3_aujourdhui-1
1-Vernier,Vernier,i fa̠͜o θo wă̠͜ɛ͉,,,Il fait chaud aujourd‘hui,,,,i fa͜ó ṣó wă͜è̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Vernier-Gauchat-1925-480-1_ilfait-1 Vernier-Gauchat-1925-480-2_chaud-1 Vernier-Gauchat-1925-480-3_aujourdhui-1
1-Laconnex,Laconnex,i fɔː tθo wă,,,Il fait chaud aujourd‘hui,,,,i fṑ tṣó wằ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Laconnex-Gauchat-1925-480-1_ilfait-1 Laconnex-Gauchat-1925-480-2_chaud-1 Laconnex-Gauchat-1925-480-3_aujourdhui-1
1-Veyrier,Veyrier,ĭ fă̠o θo wa̠͜e,,,Il fait chaud aujourd‘hui,,,,ĭ făó ṣó wa͜é,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Veyrier-Gauchat-1925-480-1_ilfait-1 Veyrier-Gauchat-1925-480-2_chaud-1 Veyrier-Gauchat-1925-480-3_aujourdhui-1
1-Hermance,Hermance,ĭ fɑ̝͜o θo̞u͉ wɛ̆,,,Il fait chaud aujourd‘hui,,,,ĭ faͦ͜ó ṣoʋ̱ wĕ̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Hermance-Gauchat-1925-480-1_ilfait-1 Hermance-Gauchat-1925-480-2_chaud-1 Hermance-Gauchat-1925-480-3_aujourdhui-1
1-Semsalves,Semsalves,i fɔː tso vɥɛ,,,Il fait chaud aujourd‘hui,,,,i fṑ tsó vẅè,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Semsalves-Gauchat-1925-480-1_ilfait-1 Semsalves-Gauchat-1925-480-2_chaud-1 Semsalves-Gauchat-1925-480-3_aujourdhui-1
1-Montbovon,Montbovon,fa̠ tsoː wɛ,,,Il fait chaud aujourd‘hui,,,,fa tsṓ wè,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Montbovon-Gauchat-1925-480-1_ilfait-1 Montbovon-Gauchat-1925-480-2_chaud-1 Montbovon-Gauchat-1925-480-3_aujourdhui-1
1-Arconciel,Arconciel,i fɑː tso wɛ̆,,,Il fait chaud aujourd‘hui,,,,i fā́ tsó wĕ̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Arconciel-Gauchat-1925-480-1_ilfait-1 Arconciel-Gauchat-1925-480-2_chaud-1 Arconciel-Gauchat-1925-480-3_aujourdhui-1
1-Vallorbe,Vallorbe,ĭ fɑ̝ː bɛ̃ĩ͉ tsŏ v͉wĭ,,,Il fait chaud aujourd‘hui,,,,ĭ faͦ̄ bè̃ĩ̱ tsŏ́ v̱wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Vallorbe-Gauchat-1925-480-1_ilfait-1 Vallorbe-Gauchat-1925-480-2_chaud-1 Vallorbe-Gauchat-1925-480-3_aujourdhui-1
1-AvrysurMatran,AvrysurMatran,fa̠ː tso ɥɛ̆,,,Il fait chaud aujourd‘hui,,,,fā tsó ẅĕ̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,AvrysurMatran-Gauchat-1925-480-1_ilfait-1 AvrysurMatran-Gauchat-1925-480-2_chaud-1 AvrysurMatran-Gauchat-1925-480-3_aujourdhui-1
1-Courtepin,Courtepin,jə fa̠ː tso vwe̞,,,Il fait chaud aujourd‘hui,,,,yė fā tsó vwe,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Courtepin-Gauchat-1925-480-1_ilfait-1 Courtepin-Gauchat-1925-480-2_chaud-1 Courtepin-Gauchat-1925-480-3_aujourdhui-1
1-Dompierre,Dompierre,jə fa̠ː tso vwɛ,,,Il fait chaud aujourd‘hui,,,,yė fā tsó vwè,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Dompierre-Gauchat-1925-480-1_ilfait-1 Dompierre-Gauchat-1925-480-2_chaud-1 Dompierre-Gauchat-1925-480-3_aujourdhui-1
1-Murist,Murist,ĕ fɑ̝ː tsŏ vwɛ̆,,,Il fait chaud aujourd‘hui,,,,ĕ́ faͦ̄ tsŏ́ vwĕ̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Murist-Gauchat-1925-480-1_ilfait-1 Murist-Gauchat-1925-480-2_chaud-1 Murist-Gauchat-1925-480-3_aujourdhui-1
1-Sugiez,Sugiez,jə fa̠ː tsŏ wə,,,Il fait chaud aujourd‘hui,,,,yė fā tsŏ́ wė,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Sugiez-Gauchat-1925-480-1_ilfait-1 Sugiez-Gauchat-1925-480-2_chaud-1 Sugiez-Gauchat-1925-480-3_aujourdhui-1
1-Montalchez,Montalchez,ɛ̆ fa̠ː tsoː v͉wĭ,,,Il fait chaud aujourd‘hui,,,,ĕ̀ fā tsṓ v̱wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Montalchez-Gauchat-1925-480-1_ilfait-1 Montalchez-Gauchat-1925-480-2_chaud-1 Montalchez-Gauchat-1925-480-3_aujourdhui-1
1-Boudry,Boudry,ɛ̆ fa̠ː tsŏ wĭ,,,Il fait chaud aujourd‘hui,,,,ĕ̀ fā tsŏ́ wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Boudry-Gauchat-1925-480-1_ilfait-1 Boudry-Gauchat-1925-480-2_chaud-1 Boudry-Gauchat-1925-480-3_aujourdhui-1
1-Corcelles,Corcelles,ɛ fa̠ː tʃo wĭ,,,Il fait chaud aujourd‘hui,,,,è fā tc̵ó wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Corcelles-Gauchat-1925-480-1_ilfait-1 Corcelles-Gauchat-1925-480-2_chaud-1 Corcelles-Gauchat-1925-480-3_aujourdhui-1
1-Landeron,Landeron,e̞ fa̠ tʃou͉ wĭ,,,Il fait chaud aujourd‘hui,,,,e fa tc̵óʋ̱ wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Landeron-Gauchat-1925-480-1_ilfait-1 Landeron-Gauchat-1925-480-2_chaud-1 Landeron-Gauchat-1925-480-3_aujourdhui-1
1-Savagnier,Savagnier,ɛ fa̠ː bæː tʃo vwĭ,,,Il fait chaud aujourd‘hui,,,,è fā baͤ̄ tc̵ó vwĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Savagnier-Gauchat-1925-480-1_ilfait-1 Savagnier-Gauchat-1925-480-2_chaud-1 Savagnier-Gauchat-1925-480-3_aujourdhui-1
1-LeSentier,LeSentier,fa̠ː tsŏ v͉wɛ̃i͉,,,Il fait chaud aujourd‘hui,,,,fā tsŏ́ v̱wè̃i̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,LeSentier-Gauchat-1925-480-1_ilfait-1 LeSentier-Gauchat-1925-480-2_chaud-1 LeSentier-Gauchat-1925-480-3_aujourdhui-1
1-CoteauxFees,CoteauxFees,i feː tsa̠ː ă̠dʒŭdĭ,,,Il fait chaud aujourd‘hui,,,,i fḗ tsā ădjʋ̆dĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,CoteauxFees-Gauchat-1925-480-1_ilfait-1 CoteauxFees-Gauchat-1925-480-2_chaud-1 CoteauxFees-Gauchat-1925-480-3_aujourdhui-1
1-Noiraigue,Noiraigue,ɛ̆ feː tʃa̠ː wĭ,,,Il fait chaud aujourd‘hui,,,,ĕ̀ fḗ tc̵ā wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Noiraigue-Gauchat-1925-480-1_ilfait-1 Noiraigue-Gauchat-1925-480-2_chaud-1 Noiraigue-Gauchat-1925-480-3_aujourdhui-1
1-ChauxduMilieu,ChauxduMilieu,i fa̠ː tʃoː wĭ,,,Il fait chaud aujourd‘hui,,,,i fā tc̵ṓ wĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,ChauxduMilieu-Gauchat-1925-480-1_ilfait-1 ChauxduMilieu-Gauchat-1925-480-2_chaud-1 ChauxduMilieu-Gauchat-1925-480-3_aujourdhui-1
1-CerneuxPequignot,CerneuxPequignot,i fa̠ː bĩ tʃo ɔ̆d͉ʒdø̞,,,Il fait chaud aujourd‘hui,,,,i fā bĩ tc̵ó ŏ̀ḏjdœ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,CerneuxPequignot-Gauchat-1925-480-1_ilfait-1 CerneuxPequignot-Gauchat-1925-480-2_chaud-1 CerneuxPequignot-Gauchat-1925-480-3_aujourdhui-1
1-Lamboing,Lamboing,ɛ fa̠ː tʃo ã̠ky̆,,,Il fait chaud aujourd‘hui,,,,è fā tc̵ó ãkŭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Lamboing-Gauchat-1925-480-1_ilfait-1 Lamboing-Gauchat-1925-480-2_chaud-1 Lamboing-Gauchat-1925-480-3_aujourdhui-1
1-Orvin,Orvin,ɛ fa̠ː tʃɔu ɔkɛj͉,,,Il fait chaud aujourd‘hui,,,,è fā tc̵òʋ òkèy̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Orvin-Gauchat-1925-480-1_ilfait-1 Orvin-Gauchat-1925-480-2_chaud-1 Orvin-Gauchat-1925-480-3_aujourdhui-1
1-Plagne,Plagne,a̠ fɛː tʃɔː o̞kø,,,Il fait chaud aujourd‘hui,,,,a fḕ tc̵ṑ okœ́,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Plagne-Gauchat-1925-480-1_ilfait-1 Plagne-Gauchat-1925-480-2_chaud-1 Plagne-Gauchat-1925-480-3_aujourdhui-1
1-Sombeval,Sombeval,a̠ fɛː tʃɑ̝ː ɔkh͉ø̞y͉,,,Il fait chaud aujourd‘hui,,,,a fḕ tc̵aͦ̄ òkẖœu̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Sombeval-Gauchat-1925-480-1_ilfait-1 Sombeval-Gauchat-1925-480-2_chaud-1 Sombeval-Gauchat-1925-480-3_aujourdhui-1
1-Court,Court,a̠ fa̠ː tʃŏ̞ ɔtçøŋ͉,,,Il fait chaud aujourd‘hui,,,,a fā tc̵ō òtç̑œ́ṉ̇,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Court-Gauchat-1925-480-1_ilfait-1 Court-Gauchat-1925-480-2_chaud-1 Court-Gauchat-1925-480-3_aujourdhui-1
1-Vermes,Vermes,æ fæː tʃɑ̝ː ɑ̝̃tʲø̞ː,,,Il fait chaud aujourd‘hui,,,,aͤ faͤ̄ tc̵aͦ̄ aͦ̃t̮œ̄,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Vermes-Gauchat-1925-480-1_ilfait-1 Vermes-Gauchat-1925-480-2_chaud-1 Vermes-Gauchat-1925-480-3_aujourdhui-1
1-Longirod,Longirod,ei͉ fɑː tsoː wi,,,Il fait chaud aujourd‘hui,,,,éi̱ fā́ tsṓ wi,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Longirod-Gauchat-1925-480-1_ilfait-1 Longirod-Gauchat-1925-480-2_chaud-1 Longirod-Gauchat-1925-480-3_aujourdhui-1
1-Develier,Develier,æ fæː tʃɑ̝ː ă̠dʒdœː,,,Il fait chaud aujourd‘hui,,,,aͤ faͤ̄ tc̵aͦ̄ ădjdœ̄̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Develier-Gauchat-1925-480-1_ilfait-1 Develier-Gauchat-1925-480-2_chaud-1 Develier-Gauchat-1925-480-3_aujourdhui-1
1-Cerlatez,Cerlatez,ɛ fæː tʃa̠ː ɑ̆dʒdœ̆,,,Il fait chaud aujourd‘hui,,,,è faͤ̄ tc̵ā ắdjdœ̆̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Cerlatez-Gauchat-1925-480-1_ilfait-1 Cerlatez-Gauchat-1925-480-2_chaud-1 Cerlatez-Gauchat-1925-480-3_aujourdhui-1
1-Courtedoux,Courtedoux,ɛ fæː tʃɑ̝ː ɑ̆ʒdø,,,Il fait chaud aujourd‘hui,,,,è faͤ̄ tc̵aͦ̄ ắjdœ́,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Courtedoux-Gauchat-1925-480-1_ilfait-1 Courtedoux-Gauchat-1925-480-2_chaud-1 Courtedoux-Gauchat-1925-480-3_aujourdhui-1
1-Commugny,Commugny,ei͉ fɑː θo wæː,,,Il fait chaud aujourd‘hui,,,,éi̱ fā́ ṣó waͤ̄,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Commugny-Gauchat-1925-480-1_ilfait-1 Commugny-Gauchat-1925-480-2_chaud-1 Commugny-Gauchat-1925-480-3_aujourdhui-1
1-Vullierens,Vullierens,jə fɑː tsoː v͉wɑ̆,,,Il fait chaud aujourd‘hui,,,,yė fā́ tsṓ v̱wắ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Vullierens-Gauchat-1925-480-1_ilfait-1 Vullierens-Gauchat-1925-480-2_chaud-1 Vullierens-Gauchat-1925-480-3_aujourdhui-1
1-Arnex,Arnex,fa̠ː tso vwĭ,,,Il fait chaud aujourd‘hui,,,,fā tsó vwĭ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Arnex-Gauchat-1925-480-1_ilfait-1 Arnex-Gauchat-1925-480-2_chaud-1 Arnex-Gauchat-1925-480-3_aujourdhui-1
2-Chevroux,Chevroux,l ɛ̆ ɔ̃ bõ̞n͉ tɛ̃ĩ͉,,,C’est un bon temps,,,,l ĕ̀ ò̃ bõṉ tè̃ĩ̱,Gauchat-1925-480-4_cest Gauchat-1925-480-5_unbon Gauchat-1925-480-6_temps,Chevroux-Gauchat-1925-480-4_cest-1 Chevroux-Gauchat-1925-480-5_unbon-1 Chevroux-Gauchat-1925-480-6_temps-1
2-VillarsleTerroir,VillarsleTerroir,l ɛ̆ ɔ̃ bɔ̃ŋ͉ tɛ̆,,,C’est un bon temps,,,,l ĕ̀ ò̃ bò̃ṉ̇ tĕ̀,Gauchat-1925-480-4_cest Gauchat-1925-480-5_unbon Gauchat-1925-480-6_temps,VillarsleTerroir-Gauchat-1925-480-4_cest-1 VillarsleTerroir-Gauchat-1925-480-5_unbon-1 VillarsleTerroir-Gauchat-1925-480-6_temps-1
2-Prahins,Prahins,l ɛ̆ ɔ̃ bɔ̃ tɛ̃ĩ͉,,,C’est un bon temps,,,,l ĕ̀ ò̃ bò̃ tè̃ĩ̱,Gauchat-1925-480-4_cest Gauchat-1925-480-5_unbon Gauchat-1925-480-6_temps,Prahins-Gauchat-1925-480-4_cest-1 Prahins-Gauchat-1925-480-5_unbon-1 Prahins-Gauchat-1925-480-6_temps-1
2-Montpreveyres,Montpreveyres,l ɛ̆ ɔ̃ũ͉ bɔ̃ũ͉ tɛ̃ĩ͉,,,C’est un bon temps,,,,l ĕ̀ ò̃ʋ̱̃ bò̃ʋ̱̃ tè̃ĩ̱,Gauchat-1925-480-4_cest Gauchat-1925-480-5_unbon Gauchat-1925-480-6_temps,Montpreveyres-Gauchat-1925-480-4_cest-1 Montpreveyres-Gauchat-1925-480-5_unbon-1 Montpreveyres-Gauchat-1925-480-6_temps-1
