Grapheme	Graphemes	IPA	Frequency	Sound_Types	CLTS
òʋ	òꭒ	ɔu	21	diphthong	from rounded open-mid back to rounded close back diphthong
w	w	w	1756	consonant	voiced labio-velar approximant consonant
v	v	v	3962	consonant	voiced labio-dental fricative consonant
ē	ē	eː	297	vowel	long unrounded close-mid front vowel
v̱	v̱	vː	119	consonant	long voiced labio-dental fricative consonant
è̃i̱	è̃i̱	ɛ̃i	3	diphthong	from nasalized unrounded open-mid front to unrounded close front diphthong
ắ	ắ	ɑ	142	vowel	unrounded open back vowel
ắè̱	ắè̱	ɑɛ	4	diphthong	from unrounded open back to unrounded open-mid front diphthong
ĕ̀i̱	ĕ̀i̱	ɛi	10	diphthong	from unrounded open-mid front to unrounded close front diphthong
aͦ̃	aͦ̃	ɑ	108	vowel	unrounded open back vowel
ă	ă	a	4338	vowel	unrounded open front vowel
ei̱	ei̱	ei	135	diphthong	from unrounded close-mid front to unrounded close front diphthong
ăè̱	ăè̱	aɛ	17	diphthong	from unrounded open front to unrounded open-mid front diphthong
aͤé̱	aͤé̱	æe	3	diphthong	from unrounded near-open front to unrounded close-mid front diphthong
aͤi̱	aͤi̱	æi	69	diphthong	from unrounded near-open front to unrounded close front diphthong
ĕi̱	ĕi̱	ei	25	diphthong	from unrounded close-mid front to unrounded close front diphthong
k	k	k	3192	consonant	voiceless velar stop consonant
ç̱̑	ç̱̑	ç	44	consonant	voiceless palatal sibilant fricative consonant
eé̱	eé̱	eː	1	vowel	long unrounded close-mid front vowel
ă͜è̱	ă͜è̱	aɛ	3	diphthong	from unrounded open front to unrounded open-mid front diphthong
ằ	ằ	a	378	vowel	unrounded open front vowel
a͜é	a͜é	ae	61	diphthong	from unrounded open front to unrounded close-mid front diphthong
ẅ	ẅ	ɥ	221	consonant	voiced labio-palatal approximant consonant
d	d	d	6521	consonant	voiced alveolar stop consonant
j	j	ʒ	977	consonant	voiced post-alveolar sibilant fricative consonant
ʋ̆	ʋ̆	u	1322	vowel	rounded close back vowel
ḏ	ḏ	d	5	consonant	voiced alveolar stop consonant
œ	œ	ø	60	vowel	rounded close-mid front vowel
ã	ã	ã	1842	vowel	nasalized unrounded open front vowel
ŭ	ŭ	y	551	vowel	rounded close front vowel
ò	ò	ɔ	665	vowel	rounded open-mid back vowel
y̱	y̱	j	278	consonant	voiced palatal approximant consonant
o	o	o	104	vowel	rounded close-mid back vowel
œ́	œ́	ø	299	vowel	rounded close-mid front vowel
ẖ	ẖ	h	41	consonant	voiceless glottal fricative consonant
œu̱	œu̱	øy	113	diphthong	from rounded close-mid front to rounded close front diphthong
tç̑	tç̑	cç	116	consonant	voiceless palatal affricate consonant
ṉ̇	ṉ̇	ŋ	336	consonant	voiced velar nasal consonant
t̮	t̮	tʲ	398	consonant	palatalized voiceless alveolar stop consonant
œ̄	œ̄	øː	105	vowel	long rounded close-mid front vowel
œ̄̀	œ̄̀	œː	53	vowel	long rounded open-mid front vowel
œ̆̀	œ̆̀	œ	296	vowel	rounded open-mid front vowel
l	l	l	8601	consonant	voiced alveolar lateral approximant consonant
s	s	s	3455	consonant	voiceless alveolar sibilant fricative consonant
-	-	NULL	409		
l̆̍	l̆̍	lʲ	68	consonant	palatalized voiced alveolar lateral approximant consonant
l̮	l̮	ʎ	1218	consonant	voiced palatal lateral approximant consonant
ò̃	ò̃	ɔ̃	2287	vowel	nasalized rounded open-mid back vowel
õ	õ	õ	96	vowel	nasalized rounded close-mid back vowel
ṉ	ṉ	n	221	consonant	voiced alveolar nasal consonant
ė̱ò̃	ė̱ò̃	əɔ̃	21	diphthong	from unrounded mid central to nasalized rounded open-mid back diphthong
ʋ̱̃	ʋ̱̃	ũ	2	vowel	nasalized rounded close back vowel
ò̃ʋ̱̃	ò̃ʋ̱̃	ɔ̃u	6	diphthong	from nasalized rounded open-mid back to rounded close back diphthong
ó̃	ó̃	õ	151	vowel	nasalized rounded close-mid back vowel
ʋ̃	ʋ̃	ũ	57	vowel	nasalized rounded close back vowel
ʋ̀̃	ʋ̀̃	ʊ̃	105	vowel	nasalized rounded near-close near-back vowel
ì̃	ì̃	ɪ̃	73	vowel	nasalized unrounded near-close near-front vowel
è̃	è̃	ɛ̃	1357	vowel	nasalized unrounded open-mid front vowel
ã͜ẽ̱ĩ̱	ã͜ẽ̱ ĩ̱	ãẽ ɪ̃	1	unknownsound	
ã̱ó̃	ã̱ó̃	aõ	2	diphthong	from unrounded open front to nasalized rounded close-mid back diphthong
ù̃	ù̃	ỹ	14	vowel	nasalized rounded close front vowel
aͤ̆	aͤ̆	æ	309	vowel	unrounded near-open front vowel
œ̀̃	œ̀̃	œ̃	70	vowel	nasalized rounded open-mid front vowel
è̄̃	è̄̃	ɛ̃ː	137	vowel	long nasalized unrounded open-mid front vowel
è̃͜ĩ̱	è̃͜ĩ̱	ɛ̃ɪ̃	1	diphthong	from nasalized unrounded open-mid front to nasalized unrounded near-close near-front diphthong
è̃è̱	è̃è̱	ɛ̃ɛ	1	diphthong	from nasalized unrounded open-mid front to unrounded open-mid front diphthong
ẽ	ẽ	ẽ	28	vowel	nasalized unrounded close-mid front vowel
aͤ̃	aͤ̃	æ̃	116	vowel	nasalized unrounded near-open front vowel
é̃ĩ̱	é̃ĩ̱	ẽi	83	diphthong	from nasalized unrounded close-mid front to unrounded close front diphthong
āè̱	āè̱	aːɛ	231	diphthong	from long unrounded open front to unrounded open-mid front diphthong
aͦ̄è̱	aͦ̄è̱	ɒːɛ	67	diphthong	from long rounded open back to unrounded open-mid front diphthong
aͤ̄è̱	aͤ̄è̱	æːɛ	4	diphthong	from long unrounded near-open front to unrounded open-mid front diphthong
á̃	á̃	ã	61	vowel	nasalized unrounded open front vowel
n	n	n	4265	consonant	voiced alveolar nasal consonant
ʋ̆̀	ʋ̆̀	ʊ	85	vowel	rounded near-close near-back vowel
ŏ	ŏ	o	373	vowel	rounded close-mid back vowel
n̄	n̄	nː	132	consonant	long voiced alveolar nasal consonant
ʋ̇	ʋ̇	ʊ	51	vowel	rounded near-close near-back vowel
ʋ	ꭒ	u	503	vowel	rounded close back vowel
a̱	a̱	a	843	vowel	unrounded open front vowel
ȯ	ȯ	ɔ	181	vowel	rounded open-mid back vowel
w̱	w̱	w	141	consonant	voiced labio-velar approximant consonant
à	à	a	32	vowel	unrounded open front vowel
ʋ̩̆	ʋ̩̆	u	47	vowel	rounded close back vowel
ă̩	ă̩	a	148	vowel	unrounded open front vowel
z	z	z	968	consonant	voiced alveolar sibilant fricative consonant
a͜eͥ	a͜eͥ	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
a̱aͤ̄	a̱aͤ̄	aæː	3	diphthong	from unrounded open front to long unrounded near-open front diphthong
c̵	c̵	ʃ	1194	consonant	voiceless post-alveolar sibilant fricative consonant
èi	èi	ɛi	27	diphthong	from unrounded open-mid front to unrounded close front diphthong
c̵̾	c̵̾	ʃ	357	consonant	voiceless post-alveolar sibilant fricative consonant
j͛	j͛	ʒ	163	consonant	voiced post-alveolar sibilant fricative consonant
ī	ī	iː	1060	vowel	long unrounded close front vowel
ĕ́i	ĕ́i	ei	14	diphthong	from unrounded close-mid front to unrounded close front diphthong
éi	éi	ei	9	diphthong	from unrounded close-mid front to unrounded close front diphthong
āė̱	āė̱	aːə	8	diphthong	from long unrounded open front to unrounded mid central diphthong
ãõ̱	ãõ̱	ão	5	diphthong	from nasalized unrounded open front to rounded close-mid back diphthong
ā̀	ā̀	aː	217	vowel	long unrounded open front vowel
p	p	p	4479	consonant	voiceless bilabial stop consonant
ç̑	ç̑	ç	564	consonant	voiceless palatal sibilant fricative consonant
ū	ū	yː	200	vowel	long rounded close front vowel
œ̄́	œ̄́	øː	275	vowel	long rounded close-mid front vowel
u	u	y	430	vowel	rounded close front vowel
aȯ̱	aȯ̱	aɔ	2	diphthong	from unrounded open front to rounded open-mid back diphthong
āȯ̱	āȯ̱	aːɔ	4	diphthong	from long unrounded open front to rounded open-mid back diphthong
y̆	y̆	ʝ	12	consonant	voiced palatal fricative consonant
aͤ͜ŏ́	aͤ͜ŏ́	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ṣ̍	ṣ̍	θˡ	31	consonant	with-lateral-release voiceless dental fricative consonant
a͜o	a͜o	ao	14	diphthong	from unrounded open front to rounded close-mid back diphthong
a͜ʋ̀	a͜ʋ̀	aʊ	2	diphthong	from unrounded open front to rounded near-close near-back diphthong
ȧʋ̱	ȧʋ̱	ɐu	50	diphthong	from unrounded near-open central to rounded close back diphthong
œͦ̆ʋ̱ͧ	œͦ̆ʋ̱ͧ	ɞʉ	28	diphthong	from rounded open-mid central to rounded close central diphthong
œ̆̀ʋͧ	œ̆̀ʋͧ	œʉ	1	diphthong	from rounded open-mid front to rounded close central diphthong
pf	pf	pf	7	consonant	voiceless labio-dental affricate consonant
ʋͧ	ʋͧ	ʉ	36	vowel	rounded close central vowel
ḏz	ḏz	dz	52	consonant	voiced alveolar sibilant affricate consonant
e̱ͥ	e̱ͥ	e	87	vowel	unrounded close-mid front vowel
ʋ̄	ʋ̄	uː	622	vowel	long rounded close back vowel
ŏ̩̀	ŏ̩̀	ɔ	101	vowel	rounded open-mid back vowel
ā̀o̱	ā̀o̱	aːo	2	diphthong	from long unrounded open front to rounded close-mid back diphthong
œ̆́	œ̆́	ø	28	vowel	rounded close-mid front vowel
k̮	k̮	kʲ	49	consonant	palatalized voiceless velar stop consonant
k̮ͭ	k̮ͭ	c	32	consonant	voiceless palatal stop consonant
ė̱	ė̱	ə	1765	vowel	unrounded mid central vowel
œ̀	œ̀	œ	62	vowel	rounded open-mid front vowel
ë̱	ë̱	ɛ	191	vowel	unrounded open-mid front vowel
è̱	è̱	e	1291	vowel	unrounded close-mid front vowel
aͦ	aͦ	ɒ	103	vowel	rounded open back vowel
^dz	^dz	dz	289	consonant	voiced alveolar sibilant affricate consonant
r	r	r	9314	consonant	voiced alveolar trill consonant
ẓ	ẓ	ð	255	consonant	voiced dental fricative consonant
ṟ	ṟ	r	131	consonant	voiced alveolar trill consonant
œ̆	œ̆	ø	34	vowel	rounded close-mid front vowel
œͦ̆	œͦ̆	ɞ	27	vowel	rounded open-mid central vowel
^dj͛ẅaͤ	dj͛ ẅ aͤ	dʒ ɥ æ	1	unknownsound	
^dj	dj	dʒ	167	consonant	voiced post-alveolar sibilant affricate consonant
ḗè̱	ḗè̱	eːɛ	14	diphthong	from long unrounded close-mid front to unrounded open-mid front diphthong
ī̀	ī̀	ɪː	46	vowel	long unrounded near-close near-front vowel
īė̱	īė̱	iːə	246	diphthong	from long unrounded close front to unrounded mid central diphthong
iė̱	iė̱	iə	7	diphthong	from unrounded close front to unrounded mid central diphthong
īë̱	īë̱	iːɛ	74	diphthong	from long unrounded close front to unrounded open-mid front diphthong
a͜è	a͜è	aɛ	112	diphthong	from unrounded open front to unrounded open-mid front diphthong
ā́è̱	ā́è̱	ɑːɛ	113	diphthong	from long unrounded open back to unrounded open-mid front diphthong
ā̀è̱	ā̀è̱	aːɛ	8	diphthong	from long unrounded open front to unrounded open-mid front diphthong
aͤ̄i̱	aͤ̄i̱	æːi	6	diphthong	from long unrounded near-open front to unrounded close front diphthong
aͤĭ	aͤĭ	æɪ	1	diphthong	from unrounded near-open front to unrounded near-close near-front diphthong
āi̱	āi̱	aːi	17	diphthong	from long unrounded open front to unrounded close front diphthong
aͤi	aͤi	æi	86	diphthong	from unrounded near-open front to unrounded close front diphthong
·	·	NULL	53	unknownsound	
ī̩è	ī̩è	iːɛ	2	diphthong	from long unrounded close front to unrounded open-mid front diphthong
ḵ	ḵ	k	45	consonant	voiceless velar stop consonant
a͜é̱	a͜é̱	ae	40	diphthong	from unrounded open front to unrounded close-mid front diphthong
āé̱	āé̱	aːe	19	diphthong	from long unrounded open front to unrounded close-mid front diphthong
n̮	n̮	ɲ	410	consonant	voiced palatal nasal consonant
ʋ̄̀	ʋ̄̀	ʊː	32	vowel	long rounded near-close near-back vowel
èė̱	èė̱	ɛə	13	diphthong	from unrounded open-mid front to unrounded mid central diphthong
oͮʋ̱	oͮʋ̱	ou	9	diphthong	from rounded close-mid back to rounded close back diphthong
ŏ́ʋ	ŏ́ꭒ	ou	4	diphthong	from rounded close-mid back to rounded close back diphthong
aͦó̱	aͦó̱	ɒo	2	diphthong	from rounded open back to rounded close-mid back diphthong
ʋ̱	ʋ̱	u	238	vowel	rounded close back vowel
ā̩	ā̩	aː	34	vowel	long unrounded open front vowel
a͜ʋ̆	a͜ʋ̆	au	3	diphthong	from unrounded open front to rounded close back diphthong
ʋ̄œ̱̃	ʋ̄œ̱̃	uːø	1	diphthong	from long rounded close back to rounded close-mid front diphthong
ṙ	ṙ	ʀ	352	consonant	voiced uvular trill consonant
ï̱	ï̱	ɪ	10	vowel	unrounded near-close near-front vowel
aͦ͜ó̱	aͦ͜ó̱	ɒo	3	diphthong	from rounded open back to rounded close-mid back diphthong
a̱ḕ	a̱ḕ	aɛː	32	diphthong	from unrounded open front to long unrounded open-mid front diphthong
ă͜è	ă͜è	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
a͜aͤ	a͜aͤ	aæ	1	diphthong	from unrounded open front to unrounded near-open front diphthong
aͤ̆i	aͤ̆i	æi	13	diphthong	from unrounded near-open front to unrounded close front diphthong
ī̩è̱	ī̩è̱	iːɛ	13	diphthong	from long unrounded close front to unrounded open-mid front diphthong
ĕ̩̀	ĕ̩̀	ɛ	209	vowel	unrounded open-mid front vowel
ăé̱	ăé̱	ae	9	diphthong	from unrounded open front to unrounded close-mid front diphthong
a͜aͤ̄	a͜aͤ̄	aæː	1	diphthong	from unrounded open front to long unrounded near-open front diphthong
aè̱	aè̱	aɛ	32	diphthong	from unrounded open front to unrounded open-mid front diphthong
aͤ̆i̱	aͤ̆i̱	æi	13	diphthong	from unrounded near-open front to unrounded close front diphthong
aͤ̄i	aͤ̄i	æːi	1	diphthong	from long unrounded near-open front to unrounded close front diphthong
ā̀e̱	ā̀e̱	aːe	28	diphthong	from long unrounded open front to unrounded close-mid front diphthong
aé̱	aé̱	ae	17	diphthong	from unrounded open front to unrounded close-mid front diphthong
aͦ̄ė̱	aͦ̄ė̱	ɒːə	2	diphthong	from long rounded open back to unrounded mid central diphthong
ā́ė̱	ā́ė̱	ɑːə	6	diphthong	from long unrounded open back to unrounded mid central diphthong
m	m	m	3434	consonant	voiced bilabial nasal consonant
ã̱è̃	ã̱è̃	aɛ̃	11	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
ė̃	ė̃	ə̃	53	vowel	nasalized unrounded mid central vowel
āe̱ͥ	āe̱ͥ	aːe	3	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ī̩	ī̩	iː	34	vowel	long unrounded close front vowel
h	h	h	73	consonant	voiceless glottal fricative consonant
ṛ	ṛ	ɾ	23	consonant	voiced alveolar tap consonant
aè	aè	aɛ	30	diphthong	from unrounded open front to unrounded open-mid front diphthong
ḕi̱	ḕi̱	ɛːi	6	diphthong	from long unrounded open-mid front to unrounded close front diphthong
a͜ē̩	a͜ē̩	aeː	1	diphthong	from unrounded open front to long unrounded close-mid front diphthong
ai̱	ai̱	ai	16	diphthong	from unrounded open front to unrounded close front diphthong
d̄	d̄	dː	6	consonant	long voiced alveolar stop consonant
ằi̱	ằi̱	ai	2	diphthong	from unrounded open front to unrounded close front diphthong
i̱	i̱	i	39	vowel	unrounded close front vowel
a̩ͤ̄	a̩ͤ̄	æː	14	vowel	long unrounded near-open front vowel
āè	āè	aːɛ	21	diphthong	from long unrounded open front to unrounded open-mid front diphthong
ei	ei	ei	30	diphthong	from unrounded close-mid front to unrounded close front diphthong
ēè̱	ēè̱	eːɛ	4	diphthong	from long unrounded close-mid front to unrounded open-mid front diphthong
aͤ̄ï̱	aͤ̄ï̱	æːɪ	1	diphthong	from long unrounded near-open front to unrounded near-close near-front diphthong
a͜ḗ̩	a͜ḗ̩	aeː	1	diphthong	from unrounded open front to long unrounded close-mid front diphthong
e̱	e̱	e	122	vowel	unrounded close-mid front vowel
ā́ë̱	ā́ë̱	ɑːɛ	1	diphthong	from long unrounded open back to unrounded open-mid front diphthong
āe̱	āe̱	aːe	10	diphthong	from long unrounded open front to unrounded close-mid front diphthong
dz	dz	dz	923	consonant	voiced alveolar sibilant affricate consonant
ăŏ́	ăŏ́	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
i̩	i̩	ɪ	23	vowel	unrounded near-close near-front vowel
ṑó̱	ṑó̱	ɔːo	10	diphthong	from long rounded open-mid back to rounded close-mid back diphthong
á	á	ɑ	54	vowel	unrounded open back vowel
œ̱ò̃	œ̱ò̃	øɔ̃	4	diphthong	from rounded close-mid front to nasalized rounded open-mid back diphthong
a̩ó̱	a̩ó̱	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
a͜ó̩	a͜ó̩	ao	3	diphthong	from unrounded open front to rounded close-mid back diphthong
dẓ	dẓ	dð	3	consonant	voiced dental affricate consonant
áò̱	áò̱	ɑɔ	4	diphthong	from unrounded open back to rounded open-mid back diphthong
aò̱	aò̱	aɔ	46	diphthong	from unrounded open front to rounded open-mid back diphthong
āò̱	āò̱	aːɔ	101	diphthong	from long unrounded open front to rounded open-mid back diphthong
aͦ̄ò̱	aͦ̄ò̱	ɒːɔ	10	diphthong	from long rounded open back to rounded open-mid back diphthong
aͤ̆ó	aͤ̆ó	æo	2	diphthong	from unrounded near-open front to rounded close-mid back diphthong
a͜ō	a͜ō	aoː	2	diphthong	from unrounded open front to long rounded close-mid back diphthong
ă͜ʋ̆̀	ă͜ʋ̆̀	aʊ	1	diphthong	from unrounded open front to rounded near-close near-back diphthong
œʋ̱	œʋ̱	øu	1	diphthong	from rounded close-mid front to rounded close back diphthong
œ́u̱	œ́u̱	øy	19	diphthong	from rounded close-mid front to rounded close front diphthong
œͦ̆u̱	œͦ̆u̱	ɞy	10	diphthong	from rounded open-mid central to rounded close front diphthong
ȯœ̱́	ȯœ̱́	ɔø	2	diphthong	from rounded open-mid back to rounded close-mid front diphthong
œ̆̀u̱	œ̆̀u̱	œy	24	diphthong	from rounded open-mid front to rounded close front diphthong
œͦ̆ʋ̱	œͦ̆ʋ̱	ɞu	28	diphthong	from rounded open-mid central to rounded close back diphthong
œ̆u̱	œ̆u̱	øy	4	diphthong	from rounded close-mid front to rounded close front diphthong
ŏ́ʋ̱	ŏ́ʋ̱	ou	69	diphthong	from rounded close-mid back to rounded close back diphthong
œ̀u̱	œ̀u̱	œy	53	diphthong	from rounded open-mid front to rounded close front diphthong
ā̀ó	ā̀ó	aːo	1	diphthong	from long unrounded open front to rounded close-mid back diphthong
à̱	à̱	a	31	vowel	unrounded open front vowel
à̃	à̃	ã	98	vowel	nasalized unrounded open front vowel
ãõ	ãõ	ãõ	2	diphthong	from nasalized unrounded open front to nasalized rounded close-mid back diphthong
ḏẓ	ḏẓ	dz	6	consonant	voiced alveolar sibilant affricate consonant
ṅ	ṅ	ŋ	9	consonant	voiced velar nasal consonant
ā̀ó̱	ā̀ó̱	aːo	11	diphthong	from long unrounded open front to rounded close-mid back diphthong
é̃	é̃	ẽ	14	vowel	nasalized unrounded close-mid front vowel
é̃i̱	é̃i̱	ẽi	4	diphthong	from nasalized unrounded close-mid front to unrounded close front diphthong
ḗi̱	ḗi̱	eːi	22	diphthong	from long unrounded close-mid front to unrounded close front diphthong
œ́ė̱̃	œ́ė̱̃	øə	2	diphthong	from rounded close-mid front to unrounded mid central diphthong
aé	aé	ae	8	diphthong	from unrounded open front to unrounded close-mid front diphthong
aͦ̆	aͦ̆	ɒ	28	vowel	rounded open back vowel
aͦ̄ë̱	aͦ̄ë̱	ɒːɛ	2	diphthong	from long rounded open back to unrounded open-mid front diphthong
āë̱	āë̱	aːɛ	3	diphthong	from long unrounded open front to unrounded open-mid front diphthong
ae̱	ae̱	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
a̱͜è	a̱͜è	aɛ	11	diphthong	from unrounded open front to unrounded open-mid front diphthong
ė̩	ė̩	ə	141	vowel	unrounded mid central vowel
u̇	u̇	ʏ	47	vowel	rounded near-close near-front vowel
a̩	a̩	a	47	vowel	unrounded open front vowel
ë̩	ë̩	ɛ	16	vowel	unrounded open-mid front vowel
ŭ̩̀	ŭ̩̀	ʏ	3	vowel	rounded near-close near-front vowel
oͮ̆	oͮ̆	o	33	vowel	rounded close-mid back vowel
ʋ̩̇	ʋ̩̇	ʊ	3	vowel	rounded near-close near-back vowel
l̷	l̷	ʟ	54	consonant	voiced velar lateral approximant consonant
ȯ̱	ȯ̱	ɔ	190	vowel	rounded open-mid back vowel
œ̩̆̀	œ̩̆̀	œ	19	vowel	rounded open-mid front vowel
a̩ͦ̄	a̩ͦ̄	ɑː	6	vowel	long unrounded open back vowel
ē̩	ē̩	eː	6	vowel	long unrounded close-mid front vowel
ā̀é	ā̀é	aːe	1	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ĕ̇	ĕ̇	e	2	vowel	unrounded close-mid front vowel
ā̩è̱	ā̩è̱	aːɛ	5	diphthong	from long unrounded open front to unrounded open-mid front diphthong
ā̩́è̱	ā̩́è̱	ɑːɛ	3	diphthong	from long unrounded open back to unrounded open-mid front diphthong
ă̩ì	ă̩ì	aɪ	1	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ằé̱	ằé̱	ae	3	diphthong	from unrounded open front to unrounded close-mid front diphthong
ė̱oͮ	ė̱oͮ	əo	1	diphthong	from unrounded mid central to rounded close-mid back diphthong
ʋ̄ė̱̃	ʋ̄ė̱̃	uːə	1	diphthong	from long rounded close back to unrounded mid central diphthong
èi̱	èi̱	ɛi	23	diphthong	from unrounded open-mid front to unrounded close front diphthong
a͜e	a͜e	ae	15	diphthong	from unrounded open front to unrounded close-mid front diphthong
ăĭ	ăĭ	aɪ	4	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ėi̱	ėi̱	əi	2	diphthong	from unrounded mid central to unrounded close front diphthong
ā́é̱	ā́é̱	ɑːe	2	diphthong	from long unrounded open back to unrounded close-mid front diphthong
ẏ̱	ẏ̱	ʁ	1	consonant	voiced uvular fricative consonant
a͜ē	a͜ē	aeː	1	diphthong	from unrounded open front to long unrounded close-mid front diphthong
ŏ̀i̱	ŏ̀i̱	ɔi	3	diphthong	from rounded open-mid back to unrounded close front diphthong
ai	ai	ai	9	diphthong	from unrounded open front to unrounded close front diphthong
ā͜è	ā͜è	aːɛ	6	diphthong	from long unrounded open front to unrounded open-mid front diphthong
ằe̱	ằe̱	ae	2	diphthong	from unrounded open front to unrounded close-mid front diphthong
aĭ	aĭ	aɪ	1	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ḕ̩	ḕ̩	ɛː	24	vowel	long unrounded open-mid front vowel
ò̱	ò̱	ɔ	338	vowel	rounded open-mid back vowel
o̱	o̱	o	181	vowel	rounded close-mid back vowel
ŏ̩̀i̱	ŏ̩̀i̱	ɔi	1	diphthong	from rounded open-mid back to unrounded close front diphthong
ó̱	ó̱	o	5	vowel	rounded close-mid back vowel
ḗ̩	ḗ̩	eː	14	vowel	long unrounded close-mid front vowel
r̄	r̄	rː	43	consonant	long voiced alveolar trill consonant
a̱ó	a̱ó	ao	10	diphthong	from unrounded open front to rounded close-mid back diphthong
ò̱͜ó	ò̱͜ó	ɔo	8	diphthong	from rounded open-mid back to rounded close-mid back diphthong
a̱͜e	a̱͜e	ae	7	diphthong	from unrounded open front to unrounded close-mid front diphthong
aó	aó	ao	24	diphthong	from unrounded open front to rounded close-mid back diphthong
ā̩́	ā̩́	ɑː	9	vowel	long unrounded open back vowel
āó̱	āó̱	aːo	10	diphthong	from long unrounded open front to rounded close-mid back diphthong
òó̱	òó̱	ɔo	2	diphthong	from rounded open-mid back to rounded close-mid back diphthong
ĕ̀é̱	ĕ̀é̱	ɛe	1	diphthong	from unrounded open-mid front to unrounded close-mid front diphthong
ā́e̱	ā́e̱	ɑːe	1	diphthong	from long unrounded open back to unrounded close-mid front diphthong
a͜ò	a͜ò	aɔ	60	diphthong	from unrounded open front to rounded open-mid back diphthong
ă͜ŏ́	ă͜ŏ́	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
ȧʋ	ȧꭒ	ɐu	5	diphthong	from unrounded near-open central to rounded close back diphthong
óʋ	óꭒ	ou	5	diphthong	from rounded close-mid back to rounded close back diphthong
