ID	NUMBER	FRENCH	LATIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-83	83	la tour	turre	2393	JOURNEY
Gauchat-1925-480-84	84	(est) commencée	cuminitiata	3447	BEGIN OR START
Gauchat-1925-480-85	85	les tours	turres	2393	JOURNEY
Gauchat-1925-480-86	86	(sont) commencées	cuminitatias	3447	BEGIN OR START
Gauchat-1925-480-87	87	le bœuf	bove	3044	BOVINE
Gauchat-1925-480-88	88	a des cornes	habet corn(u)as	1393	HORN (ANATOMY)
Gauchat-1925-480-89	89	l‘échelle	scala	1464	LADDER
Gauchat-1925-480-90	90	est dressé	directiata	1404	STRAIGHT
Gauchat-1925-480-91	91	contre	contra	2469	AGAINST
Gauchat-1925-480-92	92	le faîte	fresta	1753	TOP
Gauchat-1925-480-93	93	du toit	tectu	769	ROOF
Gauchat-1925-480-94	94	il ferme	claudit	1046	SHUT
Gauchat-1925-480-95	95	la fenêtre	fenestra	1375	WINDOW
Gauchat-1925-480-96	96	de la chambre	pe(n)sile	1450	ROOM
Gauchat-1925-480-97	97	il balaie	scopat	230	SWEEP
Gauchat-1925-480-98	98	devant	de + abante	1883	IN FRONT OF
Gauchat-1925-480-99	99	la porte	porta	1567	DOOR
Gauchat-1925-480-100	100	de la grange	granica		
Gauchat-1925-480-101	101	on a	homo habet	773	HAVE
Gauchat-1925-480-102	102	perdu	perdutu	1660	LOSE
Gauchat-1925-480-103	103	la clef	clave	1472	KEY
Gauchat-1925-480-104	104	du clocher	cloccariu		
Gauchat-1925-480-105	105	elle est	illa est		
Gauchat-1925-480-106	106	perdue	perduta	1660	LOSE
Gauchat-1925-480-107	107	qui a	cui / qualis habet	1235	WHO
Gauchat-1925-480-108	108	fait cela?	factu	813	DO
Gauchat-1925-480-109	109	je vais	vado	695	GO
Gauchat-1925-480-110	110	au marché	mercatu	633	MARKET
Gauchat-1925-480-111	111	chercher	circare	1468	LOOK FOR
Gauchat-1925-480-112	112	une pelle	pala	1901	SHOVEL
Gauchat-1925-480-113	113	(une) faux	falce	2132	SICKLE OR SCYTHE
Gauchat-1925-480-114	114	(un) manche de faux	falcariu		
Gauchat-1925-480-115	115	(un) fléau	flagellu		
Gauchat-1925-480-116	116	(un) van	vannu		
Gauchat-1925-480-117	117	(une) chaudière	caldaria		
Gauchat-1925-480-118	118	(une) charrue	carruca	1921	PLOUGH
Gauchat-1925-480-119	119	(une) cuve	cupa	2548	BARREL
Gauchat-1925-480-120	120	(un) pétrin	magide		
Gauchat-1925-480-121	121	(un) joug	jugu	14	YOKE
Gauchat-1925-480-122	122	(un) manche	manicu	1254	HANDLE
Gauchat-1925-480-123	123	(une) cage	cavea	3283	CAGE
Gauchat-1925-480-124	124	(un) lit	lectu	1663	BED
Gauchat-1925-480-125	125	(une) bouteille	buttucula	1321	BOTTLE
Gauchat-1925-480-126	126	(un) couteau	cultellu	1352	KNIFE
Gauchat-1925-480-127	127	(des) ciseaux	forfices	356	SHEARS
Gauchat-1925-480-128	128	(un) miroir	miratoriu	1171	MIRROR
Gauchat-1925-480-129	129	(une) bobine	spola		
Gauchat-1925-480-130	130	(une) couronne	corona	1943	CROWN (OF HEAD)
Gauchat-1925-480-131	131	j‘achèterai	accaptare + habeo		ACCEPT
Gauchat-1925-480-132	132	aussi	alesic + bene		
Gauchat-1925-480-133	133	„des“ pantalons	calceas	809	TROUSERS
Gauchat-1925-480-134	134	(une) ceinture	cinctura	772	BELT
Gauchat-1925-480-135	135	(de la) toile	tela	916	LINEN
Gauchat-1925-480-136	136	(de la) soie	seta	1641	SILK
Gauchat-1925-480-137	137	(de la) laine	lana	964	WOOL
Gauchat-1925-480-138	138	(du) cuir	coriu	629	LEATHER
Gauchat-1925-480-139	139	ce drap de lit	linteolu		
Gauchat-1925-480-140	140	est meilleur	meliore		
Gauchat-1925-480-141	141	que l’autre	alteru	197	OTHER
Gauchat-1925-480-142	142	il a une	habet	2152	THERE IS OR THERE ARE
Gauchat-1925-480-143	143	largeur	largu + ore	2536	BREADTH
Gauchat-1925-480-144	144	double	dupla		
Gauchat-1925-480-145	145	la couture	co(n)sutura		
Gauchat-1925-480-146	146	est droite	directa	1404	STRAIGHT
Gauchat-1925-480-147	147	le char	carru	2549	VEHICLE
Gauchat-1925-480-148	148	est léger	leviariu	1052	LIGHT (WEIGHT)
Gauchat-1925-480-149	149	la chaîne	catena	1627	CHAIN
Gauchat-1925-480-150	150	(est) légère	leviaria	1052	LIGHT (WEIGHT)
Gauchat-1925-480-151	151	la corde	corda	1218	ROPE
Gauchat-1925-480-152	152	neuve	nova	1231	NEW
Gauchat-1925-480-153	153	est meilleure	meliore		
Gauchat-1925-480-154	154	le cercle	circulu	1467	CIRCLE
Gauchat-1925-480-155	155	est rond	rotundu	1395	ROUND
Gauchat-1925-480-156	156	la roue	rota	710	WHEEL
Gauchat-1925-480-157	157	(est) ronde	rotunda	1395	ROUND
Gauchat-1925-480-158	158	il faudra	fallere + habet	971	MUST
Gauchat-1925-480-159	159	bientôt	bene tostu	703	SOON
Gauchat-1925-480-160	160	tondre	tondere	190	MOW
Gauchat-1925-480-161	161	les brebis	fetas	1331	SHEEP
Gauchat-1925-480-162	162	racérer	reaciariare		
Gauchat-1925-480-163	163	la hache	happia (+ itta)	677	AXE
Gauchat-1925-480-164	164	battre en grange	excutere		
Gauchat-1925-480-165	165	moudre	molere	1033	GRIND
Gauchat-1925-480-166	166	le blé	blatu	605	GRAIN
Gauchat-1925-480-167	167	garder	wardare	1477	KEEP
Gauchat-1925-480-168	168	les bêtes	bestias	631	LIVESTOCK
Gauchat-1925-480-169	169	tourner	(re)virare	1588	TURN
Gauchat-1925-480-170	170	la terre	terra	1228	EARTH (SOIL)
Gauchat-1925-480-171	171	semer	seminare	748	SOW SEEDS
Gauchat-1925-480-172	172	(le) chanvre	cannapu		
Gauchat-1925-480-173	173	les fèves	fabas		
Gauchat-1925-480-174	174	le cheval	caballu	615	HORSE
Gauchat-1925-480-175	175	est vendu	vendutu		
Gauchat-1925-480-176	176	la vache	vacca	1007	COW
Gauchat-1925-480-177	177	(est) vendue	venduta		
Gauchat-1925-480-178	178	les chèvres	capras	1502	GOAT
Gauchat-1925-480-179	179	(sont) vendues	vendutas		
Gauchat-1925-480-180	180	il est cher	caru	1426	EXPENSIVE
Gauchat-1925-480-181	181	(elle est) chère	cara	1426	EXPENSIVE
Gauchat-1925-480-182	182	(elles sont) chères	caras	1426	EXPENSIVE
Gauchat-1925-480-183	183	le porc	porcu	1337	PIG
Gauchat-1925-480-184	184	est gros	grossu	2449	FAT (OF MEAT AND FOOD)
Gauchat-1925-480-185	185	la truie	troia	1351	SOW (FEMALE PIG)
Gauchat-1925-480-186	186	(est) grosse	grossa	2449	FAT (OF MEAT AND FOOD)
Gauchat-1925-480-187	187	le foin	fenu	342	HAY
Gauchat-1925-480-188	188	est sec	siccu	1398	DRY
Gauchat-1925-480-189	189	l’herbe	herba	606	GRASS
Gauchat-1925-480-190	190	(est) sèche	sicca	1398	DRY
Gauchat-1925-480-191	191	Que veux-tu?	quid voles tu		
Gauchat-1925-480-192	192	je voudrais	volere + habebam	1784	WANT
Gauchat-1925-480-193	193	du sel	sal	1274	SALT
Gauchat-1925-480-194	194	du poivre	piper	1385	PEPPER
Gauchat-1925-480-195	195	une feuille	folia	628	LEAF
Gauchat-1925-480-196	196	de chou	caule		
Gauchat-1925-480-197	197	une gerbe	garba		
Gauchat-1925-480-198	198	de paille	palea		
Gauchat-1925-480-199	199	un sac	saccu		
Gauchat-1925-480-200	200	d’avoine	avena	60	OAT
Gauchat-1925-480-201	201	de farine	farina	1594	FLOUR
Gauchat-1925-480-202	202	une brassée	braciata		
Gauchat-1925-480-203	203	(des) brassées	braciatas		
Gauchat-1925-480-204	204	de bois	boscu	1803	WOOD
Gauchat-1925-480-205	205	(une) pelletée	palata		
Gauchat-1925-480-206	206	(des) pelletées	palatas		
Gauchat-1925-480-207	207	de charbon	carbone		
Gauchat-1925-480-208	208	une poignée	pugnata		
Gauchat-1925-480-209	209	(des) poignées	pugnatas		
Gauchat-1925-480-210	210	de cendres	cineres	646	ASH
Gauchat-1925-480-211	211	j’avais	habebam	773	HAVE
Gauchat-1925-480-212	212	faim	fame	1864	HUNGER
Gauchat-1925-480-213	213	et soif	site	848	THIRST
Gauchat-1925-480-214	214	j’ai mangé	manducatu	1336	EAT
Gauchat-1925-480-215	215	du pain	pane	1368	BREAD
Gauchat-1925-480-216	216	(du) miel	mel	942	HONEY
Gauchat-1925-480-217	217	un œuf	ovu	744	EGG
Gauchat-1925-480-218	218	cru	crudu	1959	RAW
Gauchat-1925-480-219	219	(de la) viande	carne	634	MEAT
Gauchat-1925-480-220	220	crue	cruda	1959	RAW
Gauchat-1925-480-221	221	(du) fromage	formaticu	1569	CHEESE
Gauchat-1925-480-222	222	(du) „sérac“	seraceu		
Gauchat-1925-480-223	223	la moitié	medietate	816	HALF
Gauchat-1925-480-224	224	d’une pomme	poma	1320	APPLE
Gauchat-1925-480-225	225	cuite	cocta	269	COOKED
Gauchat-1925-480-226	226	(la pomme est) mangée	manducata	1336	EAT
Gauchat-1925-480-227	227	les deux moitiés	duas medietates		
Gauchat-1925-480-228	228	(sont) mangées	manducatas	1336	EAT
Gauchat-1925-480-229	229	il m’a fallu	fallutu		
Gauchat-1925-480-230	230	boire	bibere	1401	DRINK
Gauchat-1925-480-231	231	du lait	lacticellu	635	MILK
Gauchat-1925-480-232	232	du petit-lait	lactata		
Gauchat-1925-480-233	233	le vin	vinu	1524	WINE
Gauchat-1925-480-234	234	est clair	claru	250	LIGHT (COLOR)
Gauchat-1925-480-235	235	tiède	tepidu	1232	WARM
Gauchat-1925-480-236	236	l’eau	aqua	948	WATER
Gauchat-1925-480-237	237	(est) claire	clara	250	LIGHT (COLOR)
Gauchat-1925-480-238	238	tiède	tepida	1232	WARM
Gauchat-1925-480-239	239	le verre	vitru	604	GLASS
Gauchat-1925-480-240	240	est plein	plenu	1429	FULL
Gauchat-1925-480-241	241	la cuiller	cochleare	1378	SPOON
Gauchat-1925-480-242	242	(est) pleine	plena	1429	FULL
Gauchat-1925-480-243	243	il a bu	bibutu	1401	DRINK
Gauchat-1925-480-244	244	(une) cuillerée, (des) cuillerées	cochlearata, -atas		
Gauchat-1925-480-245	245	de poison	potione	655	POISON
Gauchat-1925-480-246	246	il meurt	morit	157	DYE
Gauchat-1925-480-247	247	ce fruit	fructu, fructa	1507	FRUIT
Gauchat-1925-480-248	248	est rouge	rubeu	156	RED
Gauchat-1925-480-249	249	mûr	maturu	178	RIPE
Gauchat-1925-480-250	250	doux	dulce	1856	SOFT
Gauchat-1925-480-251	251	la prune	pruma		
Gauchat-1925-480-252	252	(est) mûre	matura	178	RIPE
Gauchat-1925-480-253	253	douce	dulce + a	717	SWEET
Gauchat-1925-480-254	254	notre	nostru	780	OUR
Gauchat-1925-480-255	255	pommier	pomariu		
Gauchat-1925-480-256	256	perd	perdit	1660	LOSE
Gauchat-1925-480-257	257	sa sève	sapa		
Gauchat-1925-480-258	258	il ne peut	potet		
Gauchat-1925-480-259	259	plus	plus	1992	MORE
Gauchat-1925-480-260	260	croître	crescere	479	GROW
Gauchat-1925-480-261	261	le gland	glande	968	ACORN
Gauchat-1925-480-262	262	croît	crescit	1890	BELIEVE
Gauchat-1925-480-263	263	sur	su(r)su	1741	ABOVE
Gauchat-1925-480-264	264	le chêne	cassinu	644	OAK
Gauchat-1925-480-265	265	le saule	salice		
Gauchat-1925-480-266	266	a moins	minus		
Gauchat-1925-480-267	267	de nœuds	nodos		
Gauchat-1925-480-268	268	que le hêtre	fagu		
Gauchat-1925-480-269	269	voilà	*- 		
Gauchat-1925-480-270	270	une plante	planta	653	PLANT (VEGETATION)
Gauchat-1925-480-271	271	sans	sine	1478	WITHOUT
Gauchat-1925-480-272	272	épines	spinas		
Gauchat-1925-480-273	273	on vient	homo venit		
Gauchat-1925-480-274	274	m’appeler	appellare (quiriare)		
Gauchat-1925-480-275	275	pour	pro		
Gauchat-1925-480-276	276	manger	manducare	1336	EAT
Gauchat-1925-480-277	277	chasser	captiare	1435	HUNT
Gauchat-1925-480-278	278	un chien	cane	2009	DOG
Gauchat-1925-480-279	279	prendre	pre(he)ndere	1749	TAKE
Gauchat-1925-480-280	280	un voleur	latro	1160	THIEF
Gauchat-1925-480-281	281	(il est) pris, (elle est) prise	pre(hen)su, -e(hen)sa		
Gauchat-1925-480-282	282	le meunier	molinariu		
Gauchat-1925-480-283	283	moud	molit		
Gauchat-1925-480-284	284	on croit	credit	1890	BELIEVE
Gauchat-1925-480-285	285	(qu’il est) riche	riccu	712	RICH
Gauchat-1925-480-286	286	il a fait	factu		
Gauchat-1925-480-287	287	une perte	perdita		
Gauchat-1925-480-288	288	sa femme	femina	1199	WIFE
Gauchat-1925-480-289	289	est riche	ricca	712	RICH
Gauchat-1925-480-290	290	ils ont	habent		
Gauchat-1925-480-291	291	un beau	bellu	1427	BEAUTIFUL
Gauchat-1925-480-292	292	jardin	co(ho)rtile	586	GARDEN
Gauchat-1925-480-293	293	une belle	bella	2410	GOOD-LOOKING
Gauchat-1925-480-294	294	vigne	vinea	343	VINE
Gauchat-1925-480-295	295	ils peuvent	potunt		
Gauchat-1925-480-296	296	payer	pacare	718	PAY
Gauchat-1925-480-297	297	la fille	filia	1357	DAUGHTER
Gauchat-1925-480-298	298	de ma sœur	soror	1263	SISTER
Gauchat-1925-480-299	299	chante	cantat	1261	SING
Gauchat-1925-480-300	300	nien	bene		
Gauchat-1925-480-301	301	tu chantes	cantas	1261	SING
Gauchat-1925-480-302	302	mieux qu‘elle	melius, illæi		
Gauchat-1925-480-303	303	ces gens	gentes		
Gauchat-1925-480-304	304	ont chanté	cantatu	1261	SING
Gauchat-1925-480-305	305	(une) chanson	cantione	1096	SONG
Gauchat-1925-480-306	306	elle a été	statu habutu		
Gauchat-1925-480-307	307	mal chantée	male cantata		
Gauchat-1925-480-308	308	elles ont été (mal) chantées	cantatas		
Gauchat-1925-480-309	309	(ils) devraient	debere + (hab)ebant		
Gauchat-1925-480-310	310	tous	totti	98	ALL
Gauchat-1925-480-311	311	se taire	qu(i)etiare	48	BE SILENT
Gauchat-1925-480-312	312	toutes	tottas		
Gauchat-1925-480-313	313	ces femmes	feminas	962	WOMAN
Gauchat-1925-480-314	314	ne savent pas	sapunt		
Gauchat-1925-480-315	315	chanter	cantare	1261	SING
Gauchat-1925-480-316	316	on ne peut pas	potet		
Gauchat-1925-480-317	317	tout savoir	sapere	1410	KNOW (SOMETHING)
Gauchat-1925-480-318	318	cela ne prouve	probat		
Gauchat-1925-480-319	319	rien	rem	3198	NOTHING OR ZERO
Gauchat-1925-480-320	320	on défend	defendit		
Gauchat-1925-480-321	321	aux enfants	infantes	2099	CHILD
Gauchat-1925-480-322	322	(de) jurer	jurare	1939	SWEAR
Gauchat-1925-480-323	323	(de) pleurer	plorare	1839	CRY
Gauchat-1925-480-324	324	(de) sauter	saltare	1829	JUMP
Gauchat-1925-480-325	325	cette fillette	filia + itta		
Gauchat-1925-480-326	326	a fait	factu		
Gauchat-1925-480-327	327	sa prière	precaria		
Gauchat-1925-480-328	328	elle a sommeil	somnu		
Gauchat-1925-480-329	329	elle dort	dormit		
Gauchat-1925-480-330	330	déjà	jam	2576	ALREADY
Gauchat-1925-480-331	331	quand	quando	1238	WHEN
Gauchat-1925-480-332	332	vous venez	venitis	1446	COME
Gauchat-1925-480-333	333	vous coucher	collocare	215	LIE DOWN
Gauchat-1925-480-334	334	mon frère	fratre	1262	BROTHER
Gauchat-1925-480-335	335	s’ennuie	inodat		
Gauchat-1925-480-336	336	tout seul	solittu	1964	ALONE
Gauchat-1925-480-337	337	vous voudriez	volere + (hab)ebatis		
Gauchat-1925-480-338	338	que je ne le	illu		
Gauchat-1925-480-339	339	sache pas	sapiam		
Gauchat-1925-480-340	340	je pleure	ploro	1839	CRY
Gauchat-1925-480-341	341	doucement	-mente		
Gauchat-1925-480-342	342	pour qu’on n’entende pas	homo audiat		
Gauchat-1925-480-343	343	(je) sais	sa(p)io	1410	KNOW (SOMETHING)
Gauchat-1925-480-344	344	un peu	paucu	1241	SOME
Gauchat-1925-480-345	345	lire	legere	724	READ
Gauchat-1925-480-346	346	je ne le dis	dico		
Gauchat-1925-480-347	347	qu’à eux	illoru		
Gauchat-1925-480-348	348	il frappe	ferit		
Gauchat-1925-480-349	349	une heure	hora	1353	HOUR
Gauchat-1925-480-350	350	pas de fumée	fumaria		
Gauchat-1925-480-351	351	sans feu	focu	221	FIRE
Gauchat-1925-480-352	352	la flamme	flamma	889	FLAME
Gauchat-1925-480-353	353	est chaude	cal(i)da	1286	HOT
Gauchat-1925-480-354	354	le voisin	vicinu	1332	NEIGHBOUR
Gauchat-1925-480-355	355	est arrivé	adripatu		
Gauchat-1925-480-356	356	la voisine	vicina		
Gauchat-1925-480-357	357	(est) arrivée	adripata		
Gauchat-1925-480-358	358	(il est) vieux, (elle est) vieille	veclu, -cla	1229	OLD
Gauchat-1925-480-359	359	laid, laide	putidu, -da	1548	UGLY
Gauchat-1925-480-360	360	sourd, sourde	surdu, -da	996	DEAF
Gauchat-1925-480-361	361	pauvre (m. et f.)	pauperu, -ra	1674	POOR
Gauchat-1925-480-362	362	fier, fière	feru, -ra	174	PROUD
Gauchat-1925-480-363	363	dimanche	die dominica	1699	SUNDAY
Gauchat-1925-480-364	364	lundi	die lunæ	1697	MONDAY
Gauchat-1925-480-365	365	jeudi	die jovis	1693	THURSDAY
Gauchat-1925-480-366	366	combien	waigaro	531	HOW MUCH
Gauchat-1925-480-367	367	de monnaie	moneta	1559	MONEY
Gauchat-1925-480-368	368	as-tu	ha(be)s tu		
Gauchat-1925-480-369	369	encore	anque ad hora	204	AGAIN
Gauchat-1925-480-370	370	j’en ai	inde habeo		
Gauchat-1925-480-371	371	assez	prode	1881	ENOUGH
Gauchat-1925-480-372	372	plus que toi	magis		
Gauchat-1925-480-373	373	ayez	habeatis		
Gauchat-1925-480-374	374	pitié	pietate	1141	PITY
Gauchat-1925-480-375	375	de cet ouvrier	operariu		
Gauchat-1925-480-376	376	(il n’a pas) la santé	sanitate	1364	HEALTHY
Gauchat-1925-480-377	377	quelle	quina		
Gauchat-1925-480-378	378	pauvreté	paupertate		
Gauchat-1925-480-379	379	il veut	volet		
Gauchat-1925-480-380	380	changer	cambiare	1264	CHANGE
Gauchat-1925-480-381	381	de métier	ministeriu		
Gauchat-1925-480-382	382	la semaine	septimana	1469	WEEK
Gauchat-1925-480-383	383	passée	passata		
Gauchat-1925-480-384	384	je me suis fait	sum factu		
Gauchat-1925-480-385	385	une entorse	intorsa		
Gauchat-1925-480-386	386	j’ai eu	habutu		
Gauchat-1925-480-387	387	la fièvre	febre	1534	FEVER
Gauchat-1925-480-388	388	le médecin	medicu	597	PHYSICIAN
Gauchat-1925-480-389	389	a dû	debutu		
Gauchat-1925-480-390	390	venir	venire	1446	COME
Gauchat-1925-480-391	391	il m’a donné	bajulatu		
Gauchat-1925-480-392	392	une poudre	pulvere	3368	POWDER
Gauchat-1925-480-393	393	blanche	blanca	1335	WHITE
Gauchat-1925-480-394	394	jaune	galbina	1424	YELLOW
Gauchat-1925-480-395	395	rouge	rubea	156	RED
Gauchat-1925-480-396	396	verte	virida	1425	GREEN
Gauchat-1925-480-397	397	j’ai pris	pre(hen)su		
Gauchat-1925-480-398	398	une goutte	gutta	2087	DROP (CLASSIFIER)
Gauchat-1925-480-399	399	de gentiane	gentiana		
Gauchat-1925-480-400	400	(cela m’a) aidé	adjutatu		
Gauchat-1925-480-401	401	à me guérir	warire		
Gauchat-1925-480-402	402	maintenant	ad hora	1376	NOW
Gauchat-1925-480-403	403	je suis guéri	sum waritu		
Gauchat-1925-480-404	404	guérie	warita		
Gauchat-1925-480-405	405	(elles sont) guéries	waritas		
Gauchat-1925-480-406	406	il a mal	malu		
Gauchat-1925-480-407	407	au pied	pede	1301	FOOT
Gauchat-1925-480-408	408	(au) genou	genuclu	1371	KNEE
Gauchat-1925-480-409	409	(au) coude	cubitu	981	ELBOW
Gauchat-1925-480-410	410	(au) doigt	digitu	1303	FINGER
Gauchat-1925-480-411	411	(au) pouce	pollice	1781	THUMB
Gauchat-1925-480-412	412	(au) nez	nasu	1221	NOSE
Gauchat-1925-480-413	413	aux dents	dentes		
Gauchat-1925-480-414	414	(au) cou	collu	1333	NECK
Gauchat-1925-480-415	415	(au) cœur	cor	1223	HEART
Gauchat-1925-480-416	416	(à la) cuisse	coxa	800	THIGH
Gauchat-1925-480-417	417	(à une) côté	costa		
Gauchat-1925-480-418	418	à un œil	oclu		
Gauchat-1925-480-419	419	aux yeux	oclos		
Gauchat-1925-480-420	420	(à la) langue	lingua	1205	TONGUE
Gauchat-1925-480-421	421	(à la) tête	testa	1256	HEAD
Gauchat-1925-480-422	422	(à un) ongle	ungla	1258	FINGERNAIL
Gauchat-1925-480-423	423	(à une) oreille	auricla, -ucla	1247	EAR
Gauchat-1925-480-424	424	il est tombé	cadutu, -ectu		
Gauchat-1925-480-425	425	(elle est) tombée	caduta, -ecta		
Gauchat-1925-480-426	426	sur son derrière	culu		
Gauchat-1925-480-427	427	il tombe	cadit	1773	GRAVE
Gauchat-1925-480-428	428	toujours	ad id ipsu	1676	ALWAYS
Gauchat-1925-480-429	429	il a le bras	brachiu		
Gauchat-1925-480-430	430	nu	nudu	590	NAKED
Gauchat-1925-480-431	431	la main	manu	1277	HAND
Gauchat-1925-480-432	432	nue	nuda	1489	CLOUD
Gauchat-1925-480-433	433	son corps	corpus	1480	BODY
Gauchat-1925-480-434	434	est maigre	macru	2219	LEAN (MEAT)
Gauchat-1925-480-435	435	la peau	pelle	763	SKIN
Gauchat-1925-480-436	436	est épaisse	spissa		
Gauchat-1925-480-437	437	l’os	ossu	1394	BONE
Gauchat-1925-480-438	438	(est) épais	spissu	1244	THICK
Gauchat-1925-480-439	439	il est droit	directu		
Gauchat-1925-480-440	440	je tue	tuto	1417	KILL
Gauchat-1925-480-441	441	une mouche	musca	1504	FLY (INSECT)
Gauchat-1925-480-442	442	(une) araignée	aranea	843	SPIDER
Gauchat-1925-480-443	443	une fourmi	formicu, -a	587	ANT
Gauchat-1925-480-444	444	(une) guêpe	wespa	1517	WASP
Gauchat-1925-480-445	445	(une) puce	pullice	232	FLEA
Gauchat-1925-480-446	446	(un) pou	peduclu	1392	LOUSE
Gauchat-1925-480-447	447	le chasseur	captiatore		
Gauchat-1925-480-448	448	a vu	vidutu		
